,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
98628,esea_match_13791389.dem4,45.33109999999999,CounterTerrorist,,631.1707821095731,744.8968435963013,-1,CounterTerrorist
5196,esea_match_13780432.dem17,59.65300000000025,CounterTerrorist,B,225.33170910508875,353.2038980444619,-1,CounterTerrorist
52697,esea_match_13785931.dem20,24.835000000000036,CounterTerrorist,,646.7841187911873,501.5493980720047,-1,Terrorist
100655,esea_match_13791615.dem14,21.823000000000093,CounterTerrorist,,729.0156471826867,613.009753295298,-1,Terrorist
109044,esea_match_13792695.dem18,22.516000000000076,CounterTerrorist,,482.34790282706183,457.97458193979935,1,CounterTerrorist
65041,esea_match_13787328.dem6,43.21450000000016,CounterTerrorist,,652.5327757301618,799.1712610662994,0,CounterTerrorist
58389,esea_match_13786600.dem21,57.317999999999984,CounterTerrorist,,693.503071631897,640.2544387172929,2,CounterTerrorist
13735,esea_match_13781480.dem19,71.26700000000005,CounterTerrorist,,656.1925165919282,660.5879803265788,2,CounterTerrorist
108207,esea_match_13792590.dem6,159.17960000000005,CounterTerrorist,,737.2660245661922,674.2533338579578,2,Terrorist
25480,esea_match_13782829.dem29,29.286000000000058,CounterTerrorist,,436.94652992786126,491.6983891402715,1,Terrorist
28061,esea_match_13783076.dem10,29.880899999999997,CounterTerrorist,,367.31712536556836,192.3603239032068,4,CounterTerrorist
78151,esea_match_13788813.dem5,31.193899999999985,CounterTerrorist,,395.7874798206279,874.3995026559119,-1,CounterTerrorist
39325,esea_match_13784406.dem27,44.552999999999884,CounterTerrorist,,424.7112372782218,474.07513358253004,1,CounterTerrorist
82103,esea_match_13789333.dem22,44.30400000000009,CounterTerrorist,,508.7481162019887,411.49779453078884,1,Terrorist
111279,esea_match_13792936.dem6,23.339099999999974,CounterTerrorist,,652.6897557886527,638.6365469211096,-1,Terrorist
106961,esea_match_13792436.dem4,51.79359999999997,CounterTerrorist,,431.73928329108986,462.6125182766083,1,CounterTerrorist
35713,esea_match_13784018.dem5,62.269000000000005,CounterTerrorist,,462.29908488984205,358.3005614007476,-1,CounterTerrorist
4928,esea_match_13780394.dem9,55.745199999999954,CounterTerrorist,,446.61830875414313,427.2982374188472,1,Terrorist
12630,esea_match_13781367.dem22,40.96699999999964,CounterTerrorist,,534.9306921427179,679.5216053511706,8,CounterTerrorist
35714,esea_match_13784018.dem5,75.35769999999997,CounterTerrorist,,648.0469549619809,702.8485791855203,3,CounterTerrorist
13774,esea_match_13781486.dem11,67.47799999999984,CounterTerrorist,,515.4739135114057,446.7512961636828,1,CounterTerrorist
47363,esea_match_13785349.dem30,35.6550000000002,CounterTerrorist,,348.83521310196926,819.1212307692308,-1,Terrorist
