,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
12477,esea_match_13781216.dem4,51.86279999999999,CounterTerrorist,,719.2718749073894,647.8610080661026,0,CounterTerrorist
67636,esea_match_13786929.dem10,22.202999999999975,CounterTerrorist,,744.2524038214077,674.199948062168,0,Terrorist
65907,esea_match_13786754.dem6,27.704799999999977,CounterTerrorist,,513.7394423864301,459.5111258705489,-1,CounterTerrorist
93236,esea_match_13789699.dem14,33.44600000000014,CounterTerrorist,,635.8149605147202,654.3366043674995,0,Terrorist
98151,esea_match_13790236.dem18,21.923999999999978,CounterTerrorist,,721.2446870735037,661.7175431831596,0,Terrorist
1545,esea_match_13779973.dem7,26.849500000000035,CounterTerrorist,,703.9152689413141,636.663891402715,0,CounterTerrorist
109661,esea_match_13791516.dem5,54.61619999999999,CounterTerrorist,,565.3002082277247,785.2482455242966,-1,CounterTerrorist
3459,esea_match_13780173.dem22,22.221000000000004,CounterTerrorist,,752.5360627022811,677.7340877434585,0,CounterTerrorist
24140,esea_match_13782376.dem27,27.40099999999984,CounterTerrorist,,670.5887307467343,404.8684874286839,2,Terrorist
59563,esea_match_13786049.dem8,31.944599999999923,CounterTerrorist,,672.6329573796062,662.6073735982687,0,CounterTerrorist
65386,esea_match_13786709.dem13,26.353000000000065,CounterTerrorist,,335.1971861961396,180.3396960849892,1,CounterTerrorist
103964,esea_match_13790878.dem27,23.17800000000034,CounterTerrorist,,726.7880828231624,645.9391194176667,0,CounterTerrorist
31379,esea_match_13783054.dem13,29.158999999999878,CounterTerrorist,,430.9430828621563,199.35652236867986,1,CounterTerrorist
34906,esea_match_13783446.dem1,25.941400000000016,CounterTerrorist,,713.908642464418,655.5963076923076,0,CounterTerrorist
20657,esea_match_13782008.dem28,21.39300000000003,CounterTerrorist,,716.670487658413,645.0220924650797,0,Terrorist
51486,esea_match_13785283.dem19,45.53399999999965,CounterTerrorist,B,214.7431218561123,286.494288884517,-1,Terrorist
93141,esea_match_13789692.dem11,52.593000000000075,CounterTerrorist,,507.1085582374732,485.7413200078694,-1,Terrorist
113110,esea_match_13791892.dem6,35.73760000000004,CounterTerrorist,,734.8198245271983,648.6621979146173,0,Terrorist
85070,esea_match_13788775.dem19,28.284999999999627,CounterTerrorist,,334.7777235328524,181.93053236277785,1,CounterTerrorist
70419,esea_match_13787245.dem11,63.71100000000001,CounterTerrorist,,645.3407898927666,817.7879960653158,3,CounterTerrorist
33519,esea_match_13783293.dem9,82.13549999999998,CounterTerrorist,,742.1752949892766,475.20129183553024,5,CounterTerrorist
51076,esea_match_13785223.dem19,28.932000000000016,CounterTerrorist,,335.27744511600696,176.88390257721812,1,Terrorist
119249,esea_match_13792577.dem9,23.162500000000023,CounterTerrorist,,668.825350438682,624.59487389337,0,Terrorist
64864,esea_match_13786634.dem34,29.278999999999996,CounterTerrorist,,326.22775277831937,189.01166460751517,1,Terrorist
36880,esea_match_13783632.dem18,32.299000000000206,CounterTerrorist,,725.6912508481186,498.44574936061383,-1,CounterTerrorist
12659,esea_match_13781230.dem28,33.73100000000022,CounterTerrorist,,339.6787085201793,174.33047003737943,1,CounterTerrorist
9366,esea_match_13780820.dem18,23.89800000000014,CounterTerrorist,,716.9777675180347,658.3032697226047,0,Terrorist
42822,esea_match_13784329.dem11,38.37199999999996,CounterTerrorist,,293.78378319360496,169.52810544953775,-1,Terrorist
42557,esea_match_13784298.dem20,53.840999999999894,CounterTerrorist,A,591.7425275882239,648.2200023608106,-1,Terrorist
17785,esea_match_13781753.dem11,38.58600000000001,CounterTerrorist,,689.7293251705986,625.1911831595514,0,Terrorist
97909,esea_match_13790214.dem20,37.10900000000015,CounterTerrorist,,354.94127978163385,191.83281180405277,1,CounterTerrorist
116932,esea_match_13792324.dem28,25.973000000000866,CounterTerrorist,,640.2316088750244,643.896155813496,0,CounterTerrorist
48145,esea_match_13784890.dem32,49.253999999998996,CounterTerrorist,,772.5903709884968,648.510703128074,0,Terrorist
108547,esea_match_13791398.dem15,22.133000000000038,CounterTerrorist,,737.1563174108013,662.3861750934487,0,Terrorist
30427,esea_match_13782974.dem14,56.993999999999915,CounterTerrorist,,500.0370286605576,701.6130505606925,-1,CounterTerrorist
75052,esea_match_13787663.dem12,21.858799999999974,CounterTerrorist,,718.406975238838,652.3031091874877,0,Terrorist
11968,esea_match_13781104.dem6,56.012899999999945,CounterTerrorist,,454.8459461103528,433.92349525870543,4,CounterTerrorist
100911,esea_match_13790532.dem1,43.19909999999999,CounterTerrorist,,504.4116988106843,557.0366602400157,-1,Terrorist
117769,esea_match_13792406.dem21,28.473000000000184,CounterTerrorist,,392.92930395788653,183.4430627582136,1,Terrorist
46720,esea_match_13784707.dem24,20.664999999999964,CounterTerrorist,,699.4601002924546,634.0790116073185,0,CounterTerrorist
33817,esea_match_13783333.dem5,28.232399999999984,CounterTerrorist,,426.90737687658407,191.28732984458009,1,CounterTerrorist
120930,esea_match_13792752.dem25,26.032999999999447,CounterTerrorist,,787.6917855332424,648.7699767853629,0,CounterTerrorist
113541,esea_match_13791953.dem4,32.103200000000015,CounterTerrorist,,431.8768414895692,200.45264355695463,1,Terrorist
36810,esea_match_13783620.dem20,27.951000000000022,CounterTerrorist,,728.7033960616104,626.6743010033445,0,CounterTerrorist
19766,esea_match_13781912.dem27,68.02799999999979,CounterTerrorist,A,446.7945589393644,821.0205563643517,-1,CounterTerrorist
