,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
18572,esea_match_13781747.dem13,40.83199999999988,CounterTerrorist,,355.42163540651205,192.6100082628369,1,Terrorist
71683,esea_match_13787009.dem21,29.039999999999964,CounterTerrorist,,639.347363213102,772.6028628762542,2,CounterTerrorist
51426,esea_match_13785017.dem25,24.744000000000142,CounterTerrorist,,663.5432753363228,807.9690387566397,2,Terrorist
57012,esea_match_13785621.dem8,19.745900000000006,CounterTerrorist,,683.2534485474752,656.2407649026167,0,CounterTerrorist
46361,esea_match_13784505.dem3,23.1456,CounterTerrorist,,340.5050559563267,200.57448404485547,1,Terrorist
61960,esea_match_13786027.dem21,21.823000000000093,CounterTerrorist,,680.4944184051471,649.0175660043283,0,Terrorist
94075,esea_match_13789323.dem13,24.579999999999927,CounterTerrorist,,337.55524117761746,194.24778374975403,1,CounterTerrorist
72701,esea_match_13787125.dem15,20.930999999999585,CounterTerrorist,,685.9489503606941,644.6030643320873,0,Terrorist
83130,esea_match_13788138.dem24,27.480000000000018,CounterTerrorist,,408.93956092805615,199.5352338382845,1,CounterTerrorist
76753,esea_match_13787518.dem19,26.56899999999996,CounterTerrorist,,364.40684109962956,178.12080110171155,1,Terrorist
106170,esea_match_13790649.dem18,22.21900000000005,CounterTerrorist,,661.9625619341002,780.8935762345072,2,CounterTerrorist
75866,esea_match_13787450.dem8,28.42489999999998,CounterTerrorist,,498.4288155975824,419.6674127877237,-1,Terrorist
68911,esea_match_13786754.dem20,58.021999999999935,CounterTerrorist,,437.3086933125365,392.89038693684836,-1,CounterTerrorist
118323,esea_match_13791919.dem7,20.125599999999963,CounterTerrorist,,692.823685864691,645.1749974424553,0,Terrorist
93480,esea_match_13789271.dem8,22.99649999999997,CounterTerrorist,,347.00463092220707,183.86493141845358,1,Terrorist
61657,esea_match_13786010.dem14,22.63499999999999,CounterTerrorist,,694.3565513745369,635.7228912059807,0,CounterTerrorist
66246,esea_match_13786497.dem19,33.54300000000012,CounterTerrorist,,260.7536439851823,180.6036435176078,-1,Terrorist
22679,esea_match_13782107.dem23,23.895999999999958,CounterTerrorist,,358.32233651783974,186.52698894353728,1,Terrorist
119027,esea_match_13792001.dem11,40.115999999999985,CounterTerrorist,,666.1371358159485,818.1135486917175,2,Terrorist
66445,esea_match_13786517.dem11,66.81899999999996,CounterTerrorist,,647.2951025775005,805.4925421994885,2,CounterTerrorist
70135,esea_match_13786866.dem6,39.12470000000002,CounterTerrorist,,337.9988613764866,191.79769805233127,1,CounterTerrorist
87398,esea_match_13788610.dem24,87.90999999999985,CounterTerrorist,,328.3096931175668,180.452511351564,1,CounterTerrorist
35606,esea_match_13783375.dem21,25.001999999999953,CounterTerrorist,,646.5997249210373,785.0739862286052,2,CounterTerrorist
70411,esea_match_13786890.dem10,38.4923,CounterTerrorist,,694.9416428933515,639.9623277591974,0,CounterTerrorist
100141,esea_match_13790038.dem7,27.857999999999947,CounterTerrorist,,338.8393838954962,168.00578430060978,1,CounterTerrorist
100655,esea_match_13790093.dem5,36.0668,CounterTerrorist,,398.6823911093781,190.56678276608295,1,Terrorist
16827,esea_match_13781562.dem18,24.202999999999975,CounterTerrorist,,512.087546110353,472.0094256147944,3,CounterTerrorist
13443,esea_match_13781260.dem6,19.340100000000007,CounterTerrorist,,694.2885908364203,647.3348054298642,0,Terrorist
89295,esea_match_13788796.dem25,45.39800000000014,CounterTerrorist,,654.3106884928836,795.1036663387763,2,CounterTerrorist
85370,esea_match_13788414.dem19,20.305000000000064,CounterTerrorist,,681.032792045233,645.5033704505213,0,Terrorist
73624,esea_match_13787240.dem2,19.40210000000002,CounterTerrorist,,690.9403763696628,646.8789108794019,0,CounterTerrorist
28252,esea_match_13782688.dem10,60.593200000000024,CounterTerrorist,,427.91380775979724,440.79912240802673,-1,Terrorist
97122,esea_match_13789692.dem9,22.019300000000044,CounterTerrorist,,706.8641453694677,630.2306008262838,0,Terrorist
2244,esea_match_13780037.dem5,27.565699999999936,CounterTerrorist,,694.6463419769935,641.2363344481606,0,CounterTerrorist
89069,esea_match_13788780.dem14,31.659999999999854,CounterTerrorist,,429.55731877558975,498.31748243163486,-1,Terrorist
124584,esea_match_13792580.dem24,25.143999999999778,CounterTerrorist,,653.285342858257,787.3079299626205,2,CounterTerrorist
64109,esea_match_13786300.dem23,19.937999999999874,CounterTerrorist,,684.293061103529,639.4679551445996,0,Terrorist
50001,esea_match_13784885.dem5,19.018499999999904,CounterTerrorist,,695.5295095340223,638.0702545740704,0,Terrorist
112122,esea_match_13791286.dem25,19.626000000000204,CounterTerrorist,,745.8441658023006,683.5337997245721,8,CounterTerrorist
56781,esea_match_13785585.dem22,25.06899999999996,CounterTerrorist,,645.0633835211543,783.8980885303955,2,Terrorist
15343,esea_match_13781438.dem14,28.740999999999985,CounterTerrorist,,421.0806192240203,449.8017202439504,6,CounterTerrorist
82562,esea_match_13788063.dem19,36.41899999999987,CounterTerrorist,,426.8694435562488,435.8331958292347,-1,CounterTerrorist
44004,esea_match_13784288.dem10,20.924199999999928,CounterTerrorist,,751.0850333398323,678.8503545150502,8,Terrorist
95662,esea_match_13789492.dem13,20.86100000000033,CounterTerrorist,,700.5332738545526,637.9713397599843,0,Terrorist
33299,esea_match_13783136.dem3,28.667399999999986,CounterTerrorist,,647.6690033300839,807.6390541019083,2,CounterTerrorist
35088,esea_match_13783330.dem10,44.463300000000004,CounterTerrorist,,433.2240733086371,228.1898280542987,-1,CounterTerrorist
27587,esea_match_13782629.dem26,26.753999999999905,CounterTerrorist,,764.408193721973,677.3033751721425,-1,CounterTerrorist
78678,esea_match_13787685.dem17,47.978000000000065,CounterTerrorist,,476.66151842464416,333.48334020066886,-1,CounterTerrorist
50167,esea_match_13784893.dem28,18.942000000000007,CounterTerrorist,,735.9720591148373,640.6807192602794,0,Terrorist
77419,esea_match_13787582.dem21,19.14099999999985,CounterTerrorist,,677.9965691557809,653.5757056856187,0,Terrorist
128540,esea_match_13792994.dem11,37.529499999999985,CounterTerrorist,,353.58486410606366,193.59341491245323,1,Terrorist
55009,esea_match_13785375.dem9,30.898599999999988,CounterTerrorist,,522.4162302203158,515.909572771985,3,CounterTerrorist
38525,esea_match_13783662.dem3,29.75970000000001,CounterTerrorist,,650.6594167440047,793.0669478654338,2,CounterTerrorist
82634,esea_match_13788076.dem9,21.06389999999999,CounterTerrorist,,682.2226005849094,643.8746000393469,0,CounterTerrorist
46141,esea_match_13784493.dem2,19.729199999999963,CounterTerrorist,,681.4152996685514,650.5913389730474,0,CounterTerrorist
85321,esea_match_13788412.dem6,42.88990000000001,CounterTerrorist,,448.9308038214076,435.75011544363565,9,CounterTerrorist
100577,esea_match_13790084.dem10,23.067699999999945,CounterTerrorist,,668.8779779294209,659.5615628565808,0,CounterTerrorist
73105,esea_match_13787174.dem7,64.72360000000003,CounterTerrorist,A,552.9561467732501,807.1299752114893,-1,CounterTerrorist
9197,esea_match_13780766.dem9,72.80089999999996,CounterTerrorist,,341.06227646714757,204.92796474522925,1,CounterTerrorist
10146,esea_match_13780864.dem4,28.836400000000026,CounterTerrorist,,701.9535572626243,645.0053716309267,0,CounterTerrorist
2026,esea_match_13780012.dem15,23.603000000000293,CounterTerrorist,,337.35938545525454,194.83210639386198,1,Terrorist
4620,esea_match_13780266.dem35,30.013999999999214,CounterTerrorist,,695.9100007018912,638.281380287232,0,CounterTerrorist
116997,esea_match_13791771.dem19,24.17199999999957,CounterTerrorist,,679.2261677519984,626.9061766673224,0,CounterTerrorist
116700,esea_match_13791732.dem27,41.89300000000003,CounterTerrorist,,528.1386313121466,607.8232728703522,-1,Terrorist
85256,esea_match_13788400.dem29,22.485000000000127,CounterTerrorist,,702.8076559173328,639.9216336808971,0,Terrorist
24137,esea_match_13782254.dem4,25.6687,CounterTerrorist,,392.9432793916943,177.70419043871732,-1,CounterTerrorist
124859,esea_match_13792616.dem18,33.325000000000045,CounterTerrorist,,445.65564094365374,434.92390478064135,9,CounterTerrorist
51681,esea_match_13785044.dem14,59.23299999999995,CounterTerrorist,,267.68685669721197,182.6371789887861,-1,Terrorist
26188,esea_match_13782485.dem8,26.75,CounterTerrorist,,687.8788379801131,806.902330120008,2,CounterTerrorist
28771,esea_match_13782750.dem21,36.138999999999896,CounterTerrorist,,391.2530504971729,195.80278103482203,1,Terrorist
48974,esea_match_13784769.dem11,35.738000000000056,CounterTerrorist,,531.6480424254241,420.9084008656305,4,CounterTerrorist
41997,esea_match_13784080.dem14,23.73199999999997,CounterTerrorist,,340.5050559563267,195.84730277395238,1,CounterTerrorist
9627,esea_match_13780808.dem16,88.68499999999995,CounterTerrorist,A,533.0587227139794,779.0174180602006,-1,Terrorist
80709,esea_match_13787889.dem14,87.9860000000001,CounterTerrorist,B,226.98220783778513,231.63945701357466,-1,Terrorist
125052,esea_match_13792640.dem4,24.422000000000025,CounterTerrorist,,496.43476077208027,509.36834216014165,3,Terrorist
95360,esea_match_13789460.dem22,34.19099999999935,CounterTerrorist,,343.81204289335153,192.32813126106635,1,CounterTerrorist
77968,esea_match_13787634.dem25,24.972000000000207,CounterTerrorist,,278.4108060050692,198.20054865237057,-1,Terrorist
40664,esea_match_13783914.dem25,33.46100000000024,CounterTerrorist,,403.1351639695847,467.3984440684635,-1,Terrorist
99352,esea_match_13789960.dem7,27.25210000000004,CounterTerrorist,,333.9354041723533,162.14942293920922,1,CounterTerrorist
102554,esea_match_13790254.dem22,49.409999999999854,CounterTerrorist,,505.51827365958275,573.9992413928783,-1,CounterTerrorist
92163,esea_match_13789098.dem8,57.81280000000004,CounterTerrorist,,842.4944527198285,678.2939335038363,-1,CounterTerrorist
70989,esea_match_13786942.dem5,35.255600000000015,CounterTerrorist,,451.84923376876577,433.7985724965571,9,CounterTerrorist
6625,esea_match_13780474.dem13,34.644000000000005,CounterTerrorist,,541.1994328719048,428.6903375172143,4,Terrorist
125636,esea_match_13792697.dem12,22.75999999999999,CounterTerrorist,,685.8686714759212,646.5370403305134,0,CounterTerrorist
120110,esea_match_13792093.dem19,30.99000000000001,CounterTerrorist,,652.5871102203158,799.0034483572693,2,Terrorist
126345,esea_match_13792764.dem14,19.299999999999955,CounterTerrorist,,682.2008588028856,646.8172653944521,0,Terrorist
87264,esea_match_13788604.dem24,65.35099999999966,CounterTerrorist,,701.1399674010528,644.9689081251229,0,CounterTerrorist
3601,esea_match_13780173.dem26,33.29300000000012,CounterTerrorist,,422.64007798791187,203.92902585087552,1,Terrorist
116691,esea_match_13791732.dem20,23.34699999999998,CounterTerrorist,,693.469011503217,655.4863128073972,0,CounterTerrorist
87103,esea_match_13788591.dem22,24.429999999999836,CounterTerrorist,,341.16709222070574,201.27238748770412,1,Terrorist
1199,esea_match_13779935.dem20,60.13599999999951,CounterTerrorist,,668.4978461298499,630.7985048199882,0,CounterTerrorist
126145,esea_match_13792748.dem10,36.161699999999996,CounterTerrorist,,452.4609385065315,812.2928853039543,-1,Terrorist
11287,esea_match_13780969.dem3,37.61529999999999,CounterTerrorist,,415.12488828231625,383.63359213063154,-1,Terrorist
50331,esea_match_13784911.dem24,41.73799999999983,CounterTerrorist,,417.1369514525249,465.8985046626009,6,CounterTerrorist
77771,esea_match_13787615.dem14,25.256999999999607,CounterTerrorist,,643.1850614591539,796.3172362777888,2,Terrorist
109929,esea_match_13791043.dem23,24.14800000000014,CounterTerrorist,,339.117694677325,199.914353570726,1,CounterTerrorist
85827,esea_match_13788461.dem4,25.12480000000005,CounterTerrorist,,522.4118579060246,514.1678057839858,3,CounterTerrorist
108458,esea_match_13790884.dem7,50.497999999999934,CounterTerrorist,,488.31371604601287,208.90558929765893,-1,CounterTerrorist
