,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
11616,esea_match_13780810.dem7,50.42369999999994,Terrorist,,357.7609233768765,801.227117843793,-1,Terrorist
15180,esea_match_13781100.dem27,57.690000000000055,Terrorist,A,311.7603837005264,761.8269903600237,-1,Terrorist
111640,esea_match_13789248.dem8,19.955900000000042,Terrorist,,636.0716493039579,700.1700224277002,1,CounterTerrorist
129311,esea_match_13790888.dem16,25.625999999999976,Terrorist,,241.3781025541041,230.48382577218183,3,Terrorist
5288,esea_match_13780259.dem15,28.22199999999998,Terrorist,,332.00659465782803,250.58833224473733,3,Terrorist
53591,esea_match_13784350.dem4,37.50800000000004,Terrorist,,536.2339412751024,644.2501137123746,-1,Terrorist
69975,esea_match_13785742.dem10,58.61120000000005,Terrorist,,514.7332554494054,518.8429308675979,10,Terrorist
8945,esea_match_13780577.dem11,20.984800000000064,Terrorist,,671.7950502632092,615.7555963013967,1,CounterTerrorist
14621,esea_match_13781042.dem24,20.764999999999873,Terrorist,,696.4681994930786,485.72836639779655,-1,Terrorist
31655,esea_match_13782510.dem10,25.166900000000055,Terrorist,,772.9065152661337,400.41329167814285,-1,Terrorist
126028,esea_match_13790584.dem12,33.053999999999974,Terrorist,,489.2838108013258,351.3087969781625,4,Terrorist
115962,esea_match_13789691.dem22,63.485999999999876,Terrorist,,444.3136,412.2933637615581,-1,Terrorist
127343,esea_match_13790706.dem18,236.98700000000008,Terrorist,,279.469944238643,433.27041573873703,-1,Terrorist
6226,esea_match_13780344.dem3,43.591200000000015,Terrorist,,402.9399071943849,518.6178039740312,-1,Terrorist
113723,esea_match_13789453.dem5,46.255499999999984,Terrorist,,330.4804772860207,216.79409608498918,3,CounterTerrorist
88387,esea_match_13787260.dem4,70.62919999999997,Terrorist,,471.20978155585885,807.3201495180011,-1,CounterTerrorist
110351,esea_match_13789107.dem17,28.567999999999984,Terrorist,,489.5291395593683,363.25423946488286,4,Terrorist
20560,esea_match_13781591.dem20,47.10400000000004,Terrorist,,654.2932651199064,818.4799968522526,-1,CounterTerrorist
128199,esea_match_13790781.dem5,46.76099999999997,Terrorist,,280.83494482355235,248.20172528034618,3,CounterTerrorist
100262,esea_match_13788193.dem9,26.74610000000007,Terrorist,,314.1062600896861,212.52883289396027,3,Terrorist
71620,esea_match_13785850.dem9,29.690600000000018,Terrorist,,657.8303376096704,750.8776643714342,6,CounterTerrorist
41020,esea_match_13783273.dem23,56.708000000000084,Terrorist,,319.827802690583,228.72827920519376,3,Terrorist
23915,esea_match_13781871.dem9,24.62519999999995,Terrorist,,460.67172548255024,268.0972213259886,-1,Terrorist
103335,esea_match_13788471.dem21,21.243999999999915,Terrorist,,675.4292620003899,413.7466258508755,5,CounterTerrorist
74984,esea_match_13786068.dem17,46.968999999999824,Terrorist,,630.262538631312,661.7366814873106,1,Terrorist
20069,esea_match_13781558.dem21,24.409999999999854,Terrorist,,438.9046878533827,273.0881888648436,0,Terrorist
121669,esea_match_13790206.dem23,24.58699999999999,Terrorist,,546.0929110547866,215.56755239032077,-1,Terrorist
117425,esea_match_13789865.dem6,20.63119999999992,Terrorist,,651.1323274556444,445.10153405469214,5,Terrorist
70630,esea_match_13785783.dem14,24.92699999999968,Terrorist,,633.5704998557223,430.1612672831005,-1,Terrorist
65746,esea_match_13785359.dem21,31.99000000000001,Terrorist,,641.5446839352701,664.2824788510723,1,Terrorist
23761,esea_match_13781859.dem9,23.61399999999992,Terrorist,,667.9200617664262,426.7206031084006,5,CounterTerrorist
4437,esea_match_13780187.dem13,29.351000000000113,Terrorist,,646.0596702359135,650.7516978162503,1,Terrorist
102476,esea_match_13788400.dem20,24.829999999999927,Terrorist,,335.0504441411581,245.7351806413535,3,Terrorist
81533,esea_match_13786708.dem8,32.42750000000001,Terrorist,,653.9850948255021,678.6742821168601,1,Terrorist
91186,esea_match_13787493.dem12,34.302000000000135,Terrorist,,440.3255901735231,422.84102710997445,-1,Terrorist
49483,esea_match_13784011.dem13,82.44200000000001,Terrorist,,426.580551374537,866.621494393075,-1,CounterTerrorist
113638,esea_match_13789450.dem19,22.90300000000002,Terrorist,,676.1938779489179,631.3684233720244,1,CounterTerrorist
87979,esea_match_13787231.dem2,20.02970000000002,Terrorist,,656.5608391499317,673.2077780838088,1,CounterTerrorist
35301,esea_match_13782824.dem10,28.22199999999998,Terrorist,,449.7336924936635,246.204814479638,-1,Terrorist
74311,esea_match_13786027.dem28,55.978000000000065,Terrorist,,407.66180697991814,818.7751296478458,-1,CounterTerrorist
28369,esea_match_13782232.dem17,18.936999999999216,Terrorist,,673.4784711249756,660.73806492229,1,Terrorist
69304,esea_match_13785689.dem6,20.788700000000063,Terrorist,,739.322549580815,484.34359929175685,-1,CounterTerrorist
64103,esea_match_13785216.dem25,51.29699999999957,Terrorist,,431.04909651004095,818.338977769034,-1,Terrorist
7911,esea_match_13780474.dem12,27.508899999999926,Terrorist,,645.2437764242543,797.8497108007083,-1,Terrorist
18902,esea_match_13781460.dem10,30.015699999999924,Terrorist,,275.70336517839735,226.9015784379303,3,Terrorist
95809,esea_match_13787790.dem23,41.55799999999999,Terrorist,,701.0322367713004,238.696817469998,-1,Terrorist
96843,esea_match_13787891.dem9,36.59109999999998,Terrorist,,583.7141200233964,652.7680692504426,-1,CounterTerrorist
16355,esea_match_13781259.dem6,45.54169999999999,Terrorist,,634.1647133398324,654.1841023017903,1,CounterTerrorist
36057,esea_match_13782870.dem20,27.812000000000126,Terrorist,,657.7608597387405,452.9099621483376,5,CounterTerrorist
50921,esea_match_13784144.dem7,48.18709999999999,Terrorist,,459.99603322285043,368.0696986818808,-1,Terrorist
60000,esea_match_13784885.dem5,44.605999999999995,Terrorist,,650.0970752349386,775.6452488687783,6,Terrorist
54025,esea_match_13784377.dem19,20.86400000000026,Terrorist,,725.0456656658218,425.14491630926625,-1,Terrorist
103905,esea_match_13788530.dem9,66.54859999999996,Terrorist,,467.95322596997465,631.2195475113122,2,Terrorist
101286,esea_match_13788283.dem7,35.0643,Terrorist,,607.5703252875804,691.0090198701555,1,Terrorist
90383,esea_match_13787428.dem12,34.27799999999979,Terrorist,,577.1281369467732,672.6108644501278,1,CounterTerrorist
48272,esea_match_13783876.dem11,51.56880000000001,Terrorist,,673.1504876584129,621.4048207751327,1,CounterTerrorist
25256,esea_match_13781961.dem4,28.376700000000028,Terrorist,,194.1818646909729,167.42172354908507,-1,CounterTerrorist
6243,esea_match_13780344.dem13,83.35100000000034,Terrorist,,761.9343023591343,192.87897194570144,-1,CounterTerrorist
108559,esea_match_13788942.dem26,51.34400000000005,Terrorist,A,491.5758218756093,638.2572055872516,-1,CounterTerrorist
70253,esea_match_13785769.dem11,59.153999999999996,Terrorist,,592.3663709884968,742.8607294904584,-1,CounterTerrorist
40354,esea_match_13783224.dem3,31.148900000000026,Terrorist,,271.92081419379997,243.80686555183945,3,CounterTerrorist
9577,esea_match_13780618.dem26,24.355999999999767,Terrorist,,326.4427748099045,231.9302987999214,3,CounterTerrorist
97642,esea_match_13787969.dem15,25.902000000000044,Terrorist,,267.68565880288554,258.81208168404487,3,Terrorist
49769,esea_match_13784033.dem21,24.401000000000067,Terrorist,,666.6265355429908,664.6197159157977,1,Terrorist
119111,esea_match_13790001.dem4,32.94799999999998,Terrorist,,465.93657087151496,372.4078888845171,-1,Terrorist
89888,esea_match_13787391.dem25,53.15000000000009,Terrorist,,235.03285630727237,437.69275404288805,-1,Terrorist
128326,esea_match_13790795.dem21,22.5,Terrorist,,638.8798729732891,676.7926846350581,1,Terrorist
69362,esea_match_13785694.dem6,53.67320000000001,Terrorist,,332.82575472801716,273.1709469211096,-1,CounterTerrorist
82375,esea_match_13786763.dem12,24.28500000000031,Terrorist,,562.6496673815558,461.3545071807987,-1,Terrorist
1595,esea_match_13779949.dem23,21.888999999999896,Terrorist,,670.8356966270228,645.9949226834545,1,CounterTerrorist
75857,esea_match_13786170.dem6,19.909099999999967,Terrorist,,650.5251946812244,679.9674271099743,1,Terrorist
48102,esea_match_13783860.dem9,20.83789999999999,Terrorist,,678.7555550009748,627.214807003738,1,Terrorist
27934,esea_match_13782182.dem15,30.317000000000007,Terrorist,,673.1998209397543,651.1622648042494,1,Terrorist
51128,esea_match_13784157.dem17,33.91700000000037,Terrorist,,660.609783864301,654.214723588432,1,Terrorist
4245,esea_match_13780173.dem5,35.54449999999997,Terrorist,,501.7472823552349,638.2809773755656,-1,Terrorist
55885,esea_match_13784529.dem10,45.64949999999999,Terrorist,,656.4971850419186,655.2699492425733,1,Terrorist
24022,esea_match_13781885.dem28,42.917000000000826,Terrorist,,653.187486870735,667.3107629352744,1,CounterTerrorist
36325,esea_match_13782894.dem22,21.569999999999936,Terrorist,,578.1872552154416,688.7245107220147,1,Terrorist
72274,esea_match_13785898.dem5,45.37909999999977,Terrorist,,429.80049132384477,198.5353883926815,-1,Terrorist
7915,esea_match_13780474.dem14,26.663999999999987,Terrorist,,268.6517605771105,239.66968797953973,3,Terrorist
38005,esea_match_13783007.dem6,38.912300000000016,Terrorist,,407.8269167479041,459.0211651386976,-1,Terrorist
63148,esea_match_13785134.dem7,52.97199999999998,Terrorist,,539.5591162409827,775.415387763132,-1,Terrorist
40953,esea_match_13783270.dem23,79.53999999999996,Terrorist,A,511.63887479040756,578.6977957898878,-1,Terrorist
129671,esea_match_13790930.dem17,25.25299999999993,Terrorist,,441.3495901735231,257.9253939799331,0,Terrorist
105683,esea_match_13788646.dem14,30.70900000000006,Terrorist,,460.11059185026323,397.6320730277396,7,Terrorist
67164,esea_match_13785508.dem13,40.878999999999905,Terrorist,,415.48665236888286,846.8208034625221,-1,CounterTerrorist
121374,esea_match_13790174.dem24,30.810000000000173,Terrorist,,310.4924125560538,221.7866954160928,3,Terrorist
51309,esea_match_13784169.dem5,25.27260000000001,Terrorist,,262.19950243712225,241.6181687979539,3,CounterTerrorist
119143,esea_match_13790001.dem14,21.971000000000004,Terrorist,,670.1914890232014,625.1531080070824,1,CounterTerrorist
91169,esea_match_13787493.dem7,38.1345,Terrorist,,677.0853509066095,638.4582585087547,1,Terrorist
54459,esea_match_13784406.dem13,43.41100000000006,Terrorist,,523.4823162409826,744.838018493016,-1,Terrorist
20707,esea_match_13781605.dem24,33.84999999999991,Terrorist,,658.9434509651004,750.678827464096,6,Terrorist
69771,esea_match_13785716.dem9,29.93190000000004,Terrorist,,287.58827373757066,271.10652827070635,-1,Terrorist
117602,esea_match_13789875.dem6,30.331199999999967,Terrorist,,299.659454864496,193.99620570529225,-1,Terrorist
14651,esea_match_13781052.dem10,175.33530000000007,Terrorist,,666.1297887307468,663.6853637615582,1,CounterTerrorist
104227,esea_match_13788559.dem18,21.060000000000173,Terrorist,,667.6809221290699,463.4053879992131,5,CounterTerrorist
129522,esea_match_13790923.dem3,30.59590000000003,Terrorist,,516.2277683759017,534.0209759590794,-1,Terrorist
125114,esea_match_13790524.dem9,34.83439999999996,Terrorist,,617.8481388184831,577.2444934094038,-1,CounterTerrorist
34031,esea_match_13782730.dem23,32.55099999999993,Terrorist,,503.5963520374342,390.82981609285855,-1,Terrorist
38549,esea_match_13783038.dem9,29.4384,Terrorist,,267.5251409631507,257.72589226834555,3,Terrorist
68517,esea_match_13785640.dem7,56.738399999999956,Terrorist,,402.9716513940339,594.3775061971277,-1,Terrorist
88687,esea_match_13787284.dem22,89.21699999999987,Terrorist,,290.4779941509066,326.2223179697029,-1,Terrorist
52417,esea_match_13784268.dem8,37.86469999999997,Terrorist,,677.5995869760187,623.5622112925438,1,CounterTerrorist
123559,esea_match_13790370.dem10,21.515999999999963,Terrorist,,566.6731748099045,672.7389903600238,-1,CounterTerrorist
16220,esea_match_13781253.dem9,20.072199999999953,Terrorist,,630.957467077403,396.6174407239819,-1,Terrorist
75988,esea_match_13786193.dem4,87.51369999999997,Terrorist,,323.933385845194,290.02306984064523,-1,CounterTerrorist
91692,esea_match_13787518.dem20,25.22499999999991,Terrorist,,566.9442582959641,401.63218005115084,-1,Terrorist
11674,esea_match_13780816.dem3,21.089800000000025,Terrorist,,725.785585026321,407.5630196340744,-1,Terrorist
72540,esea_match_13785908.dem26,61.61799999999994,Terrorist,,511.80689943458765,519.4888989966555,10,CounterTerrorist
106578,esea_match_13788736.dem14,28.935000000000173,Terrorist,,275.6205108208228,235.78215447570335,3,CounterTerrorist
14684,esea_match_13781052.dem23,25.704999999999927,Terrorist,,275.4609912263599,261.09786000393467,3,Terrorist
92312,esea_match_13787562.dem18,22.605000000000018,Terrorist,,564.8418539286411,468.4807856777494,-1,Terrorist
74904,esea_match_13786065.dem5,40.02799999999996,Terrorist,,445.36145806200034,279.2725001770608,0,CounterTerrorist
53410,esea_match_13784332.dem6,24.13880000000006,Terrorist,,604.8413023981283,689.73360299036,1,Terrorist
52513,esea_match_13784274.dem25,21.006000000000313,Terrorist,,668.6646329498927,428.6274228605155,5,Terrorist
82630,esea_match_13786779.dem6,21.173299999999927,Terrorist,,675.1908810294404,436.89378020853826,5,Terrorist
25433,esea_match_13781980.dem8,18.54759999999999,Terrorist,,678.9870281146422,604.3725359039937,-1,Terrorist
49504,esea_match_13784011.dem23,50.447000000000116,Terrorist,,505.63405014622737,773.6889112728704,-1,Terrorist
88571,esea_match_13787268.dem24,20.938000000000102,Terrorist,,572.5230118931565,469.74562612630336,-1,CounterTerrorist
26052,esea_match_13782040.dem13,29.711000000000013,Terrorist,,588.5493605771106,495.92203155616767,-1,Terrorist
8920,esea_match_13780577.dem2,24.018400000000014,Terrorist,,675.7704622343537,637.5359937045052,1,Terrorist
14076,esea_match_13780993.dem11,55.860000000000355,Terrorist,,448.9495109378047,242.91340893173322,-1,CounterTerrorist
10245,esea_match_13780681.dem7,102.55999999999995,Terrorist,,518.7362988496783,727.7676584694078,-1,Terrorist
43991,esea_match_13783496.dem5,23.722499999999968,Terrorist,,639.9738399844024,462.5102391501082,5,Terrorist
99805,esea_match_13788147.dem20,37.317999999999756,Terrorist,,297.07379996100605,223.42674735392484,3,CounterTerrorist
52841,esea_match_13784289.dem11,50.436599999999885,Terrorist,,534.7384101384285,657.0276513869762,-1,Terrorist
80390,esea_match_13786600.dem3,21.920299999999997,Terrorist,,713.5815773835055,453.7632081841432,-1,Terrorist
123508,esea_match_13790367.dem19,30.29399999999987,Terrorist,,479.20608555273935,528.3149409403895,-1,CounterTerrorist
35483,esea_match_13782829.dem30,38.22999999999956,Terrorist,,255.19301852212908,233.59263175290175,3,CounterTerrorist
112070,esea_match_13789300.dem22,27.58900000000017,Terrorist,,331.28206823942287,240.80229281920117,3,CounterTerrorist
56872,esea_match_13784603.dem29,39.771999999999935,Terrorist,,671.1608051472023,426.4266991933897,5,CounterTerrorist
40194,esea_match_13783214.dem12,57.00400000000013,Terrorist,,502.5606925326574,639.3132370647255,-1,Terrorist
28589,esea_match_13782244.dem14,29.617999999999938,Terrorist,,448.06827997660366,264.02652417863465,0,CounterTerrorist
80672,esea_match_13786619.dem15,25.989000000000033,Terrorist,,436.22060596607525,473.77087483769435,-1,CounterTerrorist
77405,esea_match_13786356.dem10,24.19220000000007,Terrorist,,687.7118515110158,577.5126311233523,-1,Terrorist
121166,esea_match_13790154.dem25,78.35099999999989,Terrorist,A,644.4000036186391,757.9604485540035,6,Terrorist
61305,esea_match_13784982.dem20,33.94500000000039,Terrorist,,657.9728830415286,660.2364398976982,1,Terrorist
72702,esea_match_13785927.dem4,19.313900000000046,Terrorist,,635.9198681068434,675.0710430847924,1,CounterTerrorist
116653,esea_match_13789774.dem9,31.60769999999991,Terrorist,,520.4974231234158,513.4463118630729,10,Terrorist
108645,esea_match_13788945.dem29,24.516000000000076,Terrorist,,434.20195437707156,225.62559748180206,-1,Terrorist
96525,esea_match_13787871.dem14,41.396999999999935,Terrorist,,540.9775029830377,653.1439858351367,-1,CounterTerrorist
112229,esea_match_13789310.dem12,33.63499999999999,Terrorist,,272.4233308637161,229.46451969309464,3,Terrorist
5796,esea_match_13780323.dem22,30.940000000000055,Terrorist,,290.5832092025736,240.58304843596295,3,Terrorist
