,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
51851,esea_match_13788690.dem22,46.72699999999986,Terrorist,,417.98585923181906,536.3518803855991,19,CounterTerrorist
30943,esea_match_13785106.dem8,44.12419999999997,Terrorist,B,239.3063443166309,286.89228502852643,-1,Terrorist
35427,esea_match_13785906.dem10,44.61519999999996,Terrorist,,400.55010801325795,489.7938458390714,3,Terrorist
25246,esea_match_13784117.dem7,31.688499999999976,Terrorist,,642.4692297770325,652.7765303954358,17,Terrorist
68309,esea_match_13791803.dem8,27.967200000000048,Terrorist,,160.51464534997075,197.01058933700574,-1,CounterTerrorist
58584,esea_match_13790024.dem22,46.55100000000016,Terrorist,,486.7147666991616,588.5381074168798,10,CounterTerrorist
28427,esea_match_13784646.dem14,41.55199999999991,Terrorist,,412.7582483914993,487.79447727719844,3,Terrorist
27534,esea_match_13784504.dem19,48.909999999999854,Terrorist,,480.3910825502047,760.3106323037576,-1,Terrorist
74159,esea_match_13792825.dem19,55.24599999999987,Terrorist,,436.3411939949308,634.0908975014754,5,CounterTerrorist
63194,esea_match_13790846.dem9,41.329599999999914,Terrorist,,455.1937347631117,278.45456934880974,0,Terrorist
56797,esea_match_13789688.dem20,32.153999999999996,Terrorist,,736.0433937219731,657.570977769034,-1,Terrorist
68560,esea_match_13791855.dem6,33.602700000000254,Terrorist,,454.31875281731334,464.5956897894944,3,Terrorist
8231,esea_match_13781290.dem14,28.884000000000015,Terrorist,,419.56288711249755,482.3616365138698,3,CounterTerrorist
64099,esea_match_13791043.dem2,53.972200000000015,Terrorist,,492.2994898030806,574.9958433995672,10,Terrorist
73437,esea_match_13792710.dem2,30.25229999999999,Terrorist,,194.86366621173718,214.5960719260279,-1,Terrorist
53432,esea_match_13788990.dem9,33.467199999999934,Terrorist,,413.7616845388964,449.8137270116073,3,CounterTerrorist
9558,esea_match_13781493.dem15,38.837999999999965,Terrorist,,626.5523085201793,678.6033696635845,-1,CounterTerrorist
53623,esea_match_13789027.dem24,38.187999999999874,Terrorist,,574.3275199064145,657.7506763722212,-1,CounterTerrorist
27325,esea_match_13784470.dem10,56.577999999999975,Terrorist,,474.5768828231624,623.4711532559512,-1,CounterTerrorist
25009,esea_match_13784067.dem22,76.50700000000006,Terrorist,,526.5429562097875,415.1268400550856,-1,CounterTerrorist
13192,esea_match_13782086.dem12,33.039999999999964,Terrorist,,543.5435323844804,648.3676694865237,5,CounterTerrorist
69787,esea_match_13792068.dem19,33.027000000000044,Terrorist,,420.3035851043088,566.3805846940784,-1,Terrorist
35807,esea_match_13785963.dem21,66.48800000000006,Terrorist,,409.3202916747903,534.9780120401338,19,Terrorist
37198,esea_match_13786193.dem23,35.922000000000025,Terrorist,,652.237959961006,687.1011796183357,-1,CounterTerrorist
4555,esea_match_13780598.dem19,25.342999999999847,Terrorist,,505.12997621368686,386.76689514066493,-1,Terrorist
21287,esea_match_13783391.dem9,44.08469999999977,Terrorist,,485.4149914603237,837.4740586267952,-1,CounterTerrorist
3117,esea_match_13780362.dem24,37.55000000000018,Terrorist,,427.2621532462468,478.9378543379894,3,Terrorist
37228,esea_match_13786205.dem12,48.38399999999956,Terrorist,,586.1312112302593,781.5648270706275,-1,CounterTerrorist
42230,esea_match_13787096.dem20,47.93900000000008,Terrorist,,455.63152520959244,298.2069108794019,-1,Terrorist
938,esea_match_13779981.dem9,71.5714999999999,Terrorist,,440.39426944823555,852.6984788510722,11,Terrorist
71753,esea_match_13792429.dem5,174.10619999999994,Terrorist,,459.976846948723,393.87550596104666,2,Terrorist
