,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
27465,esea_match_13782282.dem22,67.04099999999994,Terrorist,,261.14515578085394,386.13766799134373,20,CounterTerrorist
73600,esea_match_13786431.dem10,17.420200000000023,Terrorist,,594.0025748488985,438.1029584103876,1,CounterTerrorist
114839,esea_match_13790254.dem29,63.302999999999884,Terrorist,,484.0251545330474,806.9440314774739,2,CounterTerrorist
36519,esea_match_13783045.dem6,56.43309999999997,Terrorist,,505.62247050107237,666.4980901042691,3,Terrorist
26713,esea_match_13782232.dem22,18.201999999999998,Terrorist,,511.46819481380385,465.09995388550067,8,CounterTerrorist
105326,esea_match_13789324.dem24,48.366999999999734,Terrorist,,499.80940877364003,666.2462703128074,3,Terrorist
96468,esea_match_13788455.dem27,47.57199999999966,Terrorist,,484.17858483135115,816.25894629156,2,CounterTerrorist
58785,esea_match_13785081.dem10,56.374700000000075,Terrorist,,239.35925131604603,189.14877544757042,15,CounterTerrorist
120548,esea_match_13790795.dem11,17.67750000000001,Terrorist,,594.5360171573406,439.61603273657295,1,CounterTerrorist
14608,esea_match_13781131.dem6,17.44959999999992,Terrorist,,596.6458684343927,440.8522060200669,1,CounterTerrorist
107073,esea_match_13789502.dem19,22.034999999999854,Terrorist,,719.5463124975629,387.7102322250639,-1,Terrorist
78078,esea_match_13786811.dem21,51.259000000000015,Terrorist,,472.61958338857477,351.6722635923667,5,Terrorist
105035,esea_match_13789301.dem6,70.99119999999994,Terrorist,,295.74992708130236,190.323968050364,-1,CounterTerrorist
128938,esea_match_13791588.dem8,32.89879999999994,Terrorist,,499.95978444141156,568.1513814676373,-1,Terrorist
49656,esea_match_13784289.dem15,58.41199999999981,Terrorist,,487.0454254630532,786.0693795002951,-1,CounterTerrorist
107970,esea_match_13789632.dem12,40.624000000000024,Terrorist,,801.6227175667772,648.5072783789101,-1,Terrorist
41877,esea_match_13783532.dem15,37.659999999999854,Terrorist,,547.2760313511405,646.5690718079874,4,Terrorist
89972,esea_match_13787824.dem7,32.97659999999996,Terrorist,,598.0316724507701,433.9224275427897,1,Terrorist
94170,esea_match_13788251.dem26,18.67099999999982,Terrorist,,594.6777080912459,440.3296900255755,1,CounterTerrorist
99080,esea_match_13788685.dem11,17.240799999999922,Terrorist,,598.7351758237473,440.64849388156597,1,Terrorist
76126,esea_match_13786646.dem13,46.45200000000011,Terrorist,B,362.56947085201796,255.6099009246508,-1,CounterTerrorist
5428,esea_match_13780297.dem15,29.46900000000005,Terrorist,,385.127218561123,444.7124221129254,-1,CounterTerrorist
19506,esea_match_13781605.dem1,51.517199999999974,Terrorist,,554.7516306492494,746.2341074168799,19,CounterTerrorist
74426,esea_match_13786502.dem3,34.20010000000002,Terrorist,,512.6930417625268,543.9311524690144,13,Terrorist
63918,esea_match_13785574.dem8,41.6268,Terrorist,,552.3807182686684,664.1285665945308,4,Terrorist
97782,esea_match_13788588.dem4,32.81279999999998,Terrorist,,509.1274693702477,666.5984151091875,3,Terrorist
127325,esea_match_13791467.dem19,61.99800000000005,Terrorist,A,454.9659351920452,806.1289411764708,2,Terrorist
89069,esea_match_13787754.dem15,19.305999999999813,Terrorist,,589.2532033534802,439.1761942160141,1,Terrorist
10815,esea_match_13780790.dem11,17.322599999999966,Terrorist,,595.6103486839539,417.3727905567579,1,CounterTerrorist
109221,esea_match_13789762.dem17,27.777000000000044,Terrorist,,415.66394072918695,461.63686767656895,0,Terrorist
98410,esea_match_13788620.dem30,83.33100000000104,Terrorist,,297.4431507116397,468.89407231949633,-1,Terrorist
100660,esea_match_13788824.dem4,32.20590000000004,Terrorist,,617.471640631702,433.611621483376,1,CounterTerrorist
76582,esea_match_13786707.dem17,27.774000000000115,Terrorist,,530.6009430298304,433.4569235490852,6,CounterTerrorist
2687,esea_match_13780040.dem10,17.233299999999986,Terrorist,,590.3187702866056,438.78260995475114,1,Terrorist
88211,esea_match_13787694.dem18,30.375,Terrorist,,407.27828114642233,465.8342402518198,0,Terrorist
66461,esea_match_13785800.dem23,30.814999999999827,Terrorist,,498.5409385065315,708.5630753492032,-1,Terrorist
39426,esea_match_13783315.dem21,22.06600000000003,Terrorist,,561.377004484305,441.01329010426923,1,CounterTerrorist
83469,esea_match_13787321.dem22,24.791999999999916,Terrorist,,470.28243166309227,365.11339476687,5,CounterTerrorist
109087,esea_match_13789742.dem28,65.47400000000016,Terrorist,,474.60613140963153,808.6821924060596,2,Terrorist
73144,esea_match_13786400.dem22,31.192999999999984,Terrorist,,532.2186993176058,659.2668329726539,3,Terrorist
87171,esea_match_13787621.dem4,17.26400000000001,Terrorist,,602.0283470462078,418.4824092858548,1,CounterTerrorist
28301,esea_match_13782376.dem27,16.547000000000025,Terrorist,,595.7851214661727,441.42565004918356,1,Terrorist
18860,esea_match_13781558.dem12,23.972499999999968,Terrorist,,510.7999494638331,611.1692528034625,16,Terrorist
71364,esea_match_13786193.dem22,27.695999999999913,Terrorist,,396.87636576330664,874.1351926027936,-1,Terrorist
47156,esea_match_13784075.dem12,44.733600000000024,Terrorist,,479.4730163384676,637.7392626401731,7,Terrorist
33050,esea_match_13782788.dem19,30.03099999999995,Terrorist,,744.4969339832326,193.21238134959674,-1,Terrorist
109714,esea_match_13789811.dem22,33.96299999999974,Terrorist,,471.1482696821993,368.0840624827857,5,CounterTerrorist
85904,esea_match_13787518.dem5,24.333000000000027,Terrorist,,552.3567004874244,663.1102073578595,4,Terrorist
98278,esea_match_13788612.dem22,20.264999999999873,Terrorist,,409.06214544745563,469.72928805823335,0,Terrorist
37762,esea_match_13783170.dem9,61.10419999999999,Terrorist,,279.88641216611427,204.76651804052722,-1,CounterTerrorist
4878,esea_match_13780233.dem10,26.80989999999997,Terrorist,,604.1805638526029,432.97782128664176,1,CounterTerrorist
120945,esea_match_13790832.dem10,17.867399999999975,Terrorist,,412.0700581009943,463.0994168797954,0,CounterTerrorist
87850,esea_match_13787665.dem14,103.7009999999998,Terrorist,,566.0487124975629,752.5392720834153,19,CounterTerrorist
