,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
5298,esea_match_13780481.dem12,21.537000000000035,CounterTerrorist,,682.0387038409046,650.0065126893567,2,Terrorist
42371,esea_match_13785066.dem21,30.12999999999988,CounterTerrorist,,455.5074033924742,506.3167697816251,-1,Terrorist
32241,esea_match_13783813.dem7,33.73569999999995,CounterTerrorist,,615.1900512380581,707.1788723194963,-1,CounterTerrorist
37517,esea_match_13784462.dem26,27.007000000000062,CounterTerrorist,,407.20860362643793,441.0493708439898,-1,Terrorist
47232,esea_match_13785694.dem10,28.61940000000004,CounterTerrorist,,409.41991655293435,473.2272865630533,1,CounterTerrorist
39063,esea_match_13784643.dem10,41.60559999999998,CounterTerrorist,,518.907258334958,402.3769824119614,-1,CounterTerrorist
28204,esea_match_13783328.dem9,58.3682,CounterTerrorist,,575.8593472411776,654.0690710210506,-1,Terrorist
26923,esea_match_13783136.dem20,47.524000000000115,CounterTerrorist,,461.31393659582767,495.50260051150894,1,CounterTerrorist
15680,esea_match_13781809.dem10,32.80399999999986,CounterTerrorist,,326.0632419574966,224.4700669683258,-1,CounterTerrorist
14395,esea_match_13781661.dem23,36.210000000000036,CounterTerrorist,,605.9856907779294,709.8660916781428,-1,Terrorist
23629,esea_match_13782786.dem19,25.46199999999999,CounterTerrorist,,445.89725622928444,241.865234231753,5,CounterTerrorist
39129,esea_match_13784646.dem11,48.27909999999997,CounterTerrorist,,519.3974766231235,581.8304339956719,-1,CounterTerrorist
49999,esea_match_13785962.dem17,69.90499999999997,CounterTerrorist,,762.5137438097095,685.9673861892584,2,CounterTerrorist
21910,esea_match_13782596.dem23,37.79899999999998,CounterTerrorist,,694.5702756872685,800.732342317529,-1,Terrorist
12857,esea_match_13781474.dem7,53.84780000000001,CounterTerrorist,,226.51982062780272,165.46161872909693,-1,Terrorist
12935,esea_match_13781480.dem21,171.27300000000014,CounterTerrorist,,254.185589393644,201.5901840645289,4,CounterTerrorist
29625,esea_match_13783477.dem18,20.805000000000064,CounterTerrorist,,574.7123634236694,436.9649746999803,-1,CounterTerrorist
30689,esea_match_13783604.dem5,33.50819999999999,CounterTerrorist,,220.98335270033144,252.29220539051744,-1,Terrorist
23860,esea_match_13782819.dem29,25.662000000000262,CounterTerrorist,,718.861576135699,662.9151981113514,2,CounterTerrorist
18003,esea_match_13782086.dem12,22.845000000000027,CounterTerrorist,,501.2442665626828,483.86318756639776,1,CounterTerrorist
16293,esea_match_13781893.dem12,43.97000000000003,CounterTerrorist,,431.24495223240405,839.5943812709031,-1,CounterTerrorist
41243,esea_match_13784925.dem13,44.465000000000146,CounterTerrorist,,650.2539814232794,740.3906795199684,-1,Terrorist
169,esea_match_13779819.dem17,60.983999999999924,CounterTerrorist,,659.8556195437707,656.78953059217,2,Terrorist
43066,esea_match_13785153.dem10,30.183099999999968,CounterTerrorist,,565.051146032365,419.984484123549,-1,Terrorist
48459,esea_match_13785806.dem15,36.36200000000008,CounterTerrorist,,513.3733459153831,497.1956756246311,1,CounterTerrorist
10128,esea_match_13781104.dem25,60.38999999999987,CounterTerrorist,,653.4659433963735,678.5066708636632,2,Terrorist
45765,esea_match_13785508.dem19,29.432000000000016,CounterTerrorist,,394.12480249561315,189.300028487114,4,CounterTerrorist
27023,esea_match_13783152.dem7,46.96879999999999,CounterTerrorist,,232.75306375511798,182.27870847924464,-1,CounterTerrorist
29924,esea_match_13783521.dem4,45.985299999999995,CounterTerrorist,,519.0404641840515,413.46865709226836,1,CounterTerrorist
6910,esea_match_13780686.dem12,54.22300000000041,CounterTerrorist,,613.4308236303373,693.272980523313,-1,Terrorist
29477,esea_match_13783459.dem24,37.7170000000001,CounterTerrorist,,792.021993838955,673.9652520165257,-1,CounterTerrorist
48808,esea_match_13785847.dem18,26.860000000000127,CounterTerrorist,,664.2851712224605,332.45332070037375,-1,CounterTerrorist
39052,esea_match_13784643.dem3,38.49300000000005,CounterTerrorist,,274.4617477091051,360.87653684831787,-1,Terrorist
25207,esea_match_13782944.dem15,30.489000000000033,CounterTerrorist,,529.202700877364,510.39733826480426,-1,Terrorist
16964,esea_match_13781931.dem24,73.59900000000016,CounterTerrorist,,467.9713940339248,435.80088231359434,-1,CounterTerrorist
47955,esea_match_13785770.dem29,39.069000000000415,CounterTerrorist,,339.7066593877949,177.2228318709424,4,Terrorist
48429,esea_match_13785806.dem7,21.457400000000007,CounterTerrorist,,731.6574833300838,642.6904426519773,2,Terrorist
