,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
10325,esea_match_13780954.dem21,29.41399999999976,CounterTerrorist,,415.34250575160854,210.3383431831595,2,CounterTerrorist
34712,esea_match_13783528.dem29,28.282000000000153,CounterTerrorist,,428.1627701306298,202.13993688766482,2,CounterTerrorist
24128,esea_match_13782447.dem20,53.233000000000175,CounterTerrorist,,662.7825924741664,734.153204013378,-1,CounterTerrorist
416,esea_match_13779846.dem23,36.1719999999998,CounterTerrorist,,498.6377283681029,487.38534062561484,-1,CounterTerrorist
1541,esea_match_13779981.dem12,44.79099999999994,CounterTerrorist,,331.34216260479616,171.1334868384813,2,Terrorist
48412,esea_match_13785081.dem17,31.878999999999678,CounterTerrorist,,482.845787638916,458.3320451701751,-1,Terrorist
16891,esea_match_13781722.dem4,99.5906,CounterTerrorist,,298.275487619419,723.2977564430455,-1,Terrorist
23674,esea_match_13782400.dem9,22.97860000000003,CounterTerrorist,,657.8790599649054,776.1861577808381,3,CounterTerrorist
947,esea_match_13779924.dem14,47.044999999999845,CounterTerrorist,,403.81756443751215,180.49691221719456,2,CounterTerrorist
8341,esea_match_13780739.dem15,41.95900000000006,CounterTerrorist,,331.1706640670696,172.930654180602,2,Terrorist
4843,esea_match_13780340.dem20,21.350999999999885,CounterTerrorist,,738.1362149346851,670.7971575841038,0,CounterTerrorist
14345,esea_match_13781450.dem14,25.151000000000067,CounterTerrorist,,761.5919241957497,650.7998457603777,1,CounterTerrorist
44165,esea_match_13784603.dem19,25.44600000000014,CounterTerrorist,,669.0447847143693,632.8944513082824,0,Terrorist
43935,esea_match_13784583.dem12,23.476,CounterTerrorist,,640.0131968024956,660.789234703915,0,Terrorist
15166,esea_match_13781515.dem14,29.66899999999987,CounterTerrorist,,716.6612239422889,654.2866433208735,0,CounterTerrorist
5443,esea_match_13780400.dem17,22.509000000000015,CounterTerrorist,,662.4397151881458,681.5565107220145,-1,Terrorist
44127,esea_match_13784602.dem11,21.689399999999978,CounterTerrorist,,694.2588630922207,638.2896399763919,0,Terrorist
889,esea_match_13779903.dem30,31.63699999999926,CounterTerrorist,,423.96015753558197,197.35810064922305,2,CounterTerrorist
34631,esea_match_13783521.dem14,31.24000000000001,CounterTerrorist,,237.01676896081105,185.5444686995869,-1,CounterTerrorist
31661,esea_match_13783215.dem34,29.297000000000025,CounterTerrorist,,293.72668356404756,195.9424503639583,-1,Terrorist
10206,esea_match_13780950.dem8,23.519699999999943,CounterTerrorist,,785.1056115422109,650.2279126500098,1,CounterTerrorist
4872,esea_match_13780344.dem7,22.256999999999948,CounterTerrorist,,720.0157273542601,660.177816250246,0,CounterTerrorist
11750,esea_match_13781113.dem22,30.108000000000175,CounterTerrorist,,434.348696432053,201.9177512492622,2,CounterTerrorist
35183,esea_match_13783575.dem18,21.047000000000025,CounterTerrorist,,712.3816266718659,660.107709620303,0,Terrorist
33684,esea_match_13783438.dem12,62.41399999999999,CounterTerrorist,,575.2419525053617,770.0107306708637,-1,Terrorist
15195,esea_match_13781520.dem12,40.30250000000001,CounterTerrorist,,405.58865119906415,201.20649128467437,2,CounterTerrorist
44106,esea_match_13784598.dem28,27.914999999999964,CounterTerrorist,,374.6236818093196,176.7969542396222,2,CounterTerrorist
49654,esea_match_13785248.dem25,24.659999999999854,CounterTerrorist,,632.476848290115,705.47052685422,-1,Terrorist
40798,esea_match_13784273.dem3,41.358900000000006,CounterTerrorist,,306.2929943458765,223.7540325004918,-1,CounterTerrorist
41518,esea_match_13784329.dem35,21.547000000000025,CounterTerrorist,,735.9783680249561,669.4189982293922,0,CounterTerrorist
49278,esea_match_13785202.dem5,31.912499999999966,CounterTerrorist,,417.09801988691754,199.80850867597883,2,Terrorist
6853,esea_match_13780570.dem26,41.38700000000017,CounterTerrorist,,450.44835624878147,440.23891402714935,5,CounterTerrorist
38039,esea_match_13783915.dem22,39.259000000000015,CounterTerrorist,,724.2753197894326,679.953929569152,0,CounterTerrorist
44891,esea_match_13784672.dem3,28.057799999999986,CounterTerrorist,,431.66341665041915,200.28148668109384,2,CounterTerrorist
41214,esea_match_13784298.dem12,29.503999999999905,CounterTerrorist,,708.5010879313706,629.2851686012198,0,CounterTerrorist
18554,esea_match_13781869.dem20,46.323999999999614,CounterTerrorist,,728.2297286800547,637.5815227228015,0,CounterTerrorist
3666,esea_match_13780203.dem8,22.976099999999974,CounterTerrorist,,722.2027030610255,664.4645949242574,0,Terrorist
29344,esea_match_13782968.dem9,28.405700000000024,CounterTerrorist,,428.9493874049522,192.7206679519968,2,CounterTerrorist
34794,esea_match_13783536.dem15,22.37999999999988,CounterTerrorist,,755.2073470852018,675.3871272870354,0,CounterTerrorist
35480,esea_match_13783605.dem8,157.13909999999998,CounterTerrorist,,714.2104120101384,631.2052441471571,0,CounterTerrorist
43407,esea_match_13784524.dem18,21.951000000000022,CounterTerrorist,,721.9638030025346,659.1129207161125,0,Terrorist
8389,esea_match_13780743.dem27,26.49499999999989,CounterTerrorist,,419.0216385260285,189.88960912846744,2,CounterTerrorist
29584,esea_match_13782978.dem4,45.76550000000003,CounterTerrorist,,676.2604209787484,641.5443604170766,0,Terrorist
18518,esea_match_13781866.dem14,30.792999999999893,CounterTerrorist,,325.574101774225,166.8351445996459,2,Terrorist
2191,esea_match_13780042.dem8,29.0634,CounterTerrorist,,427.07747787093,194.92181467637215,2,CounterTerrorist
8779,esea_match_13780790.dem17,22.13499999999999,CounterTerrorist,,713.4580545135503,400.25923840251824,4,CounterTerrorist
15765,esea_match_13781581.dem3,22.283799999999985,CounterTerrorist,,730.6644888282316,663.1372024395042,0,Terrorist
42631,esea_match_13784437.dem9,20.873699999999985,CounterTerrorist,,724.5775485279781,648.9116002360811,0,Terrorist
30490,esea_match_13783065.dem24,30.73799999999983,CounterTerrorist,,697.2934288945213,632.6539130434783,0,CounterTerrorist
12261,esea_match_13781231.dem16,57.787000000000035,CounterTerrorist,,308.4875367518035,185.16913633680895,2,Terrorist
21049,esea_match_13782107.dem21,34.37300000000005,CounterTerrorist,,274.6316490543965,178.0568791658469,-1,CounterTerrorist
43928,esea_match_13784583.dem10,22.803299999999922,CounterTerrorist,,756.9281222850459,680.4130474129452,0,CounterTerrorist
17100,esea_match_13781742.dem18,23.816999999999553,CounterTerrorist,,648.8607444726068,413.7342564627189,-1,Terrorist
41170,esea_match_13784295.dem15,22.634000000000015,CounterTerrorist,,748.4490868395399,684.809820971867,0,Terrorist
45829,esea_match_13784777.dem10,35.34139999999991,CounterTerrorist,,426.8674470657048,206.71602628369078,2,Terrorist
22590,esea_match_13782275.dem6,64.73459999999977,CounterTerrorist,,720.053960148177,367.2906085382648,-1,Terrorist
36428,esea_match_13783736.dem10,24.23219999999992,CounterTerrorist,,790.5786908949112,643.2104001573873,1,CounterTerrorist
39814,esea_match_13784157.dem9,21.149599999999964,CounterTerrorist,,723.3844258139987,663.4407963800905,0,CounterTerrorist
9873,esea_match_13780923.dem23,46.298,CounterTerrorist,,329.7208126340418,185.61066708636633,2,Terrorist
24960,esea_match_13782555.dem21,22.89800000000014,CounterTerrorist,,692.8742370052641,645.3019146173519,0,CounterTerrorist
7764,esea_match_13780661.dem3,28.745400000000018,CounterTerrorist,,449.74656985767206,447.1991727719851,5,Terrorist
24977,esea_match_13782555.dem25,21.286000000000058,CounterTerrorist,,747.5117544940534,676.4149549478655,0,CounterTerrorist
3237,esea_match_13780167.dem16,42.10799999999995,CounterTerrorist,,335.8915656073309,194.9490716506,2,CounterTerrorist
23400,esea_match_13782376.dem24,21.47400000000016,CounterTerrorist,,718.0605841294599,625.5350682667715,0,CounterTerrorist
38510,esea_match_13784009.dem15,37.03399999999988,CounterTerrorist,,663.2507894716318,789.4637088333661,3,Terrorist
42438,esea_match_13784413.dem21,48.103999999999814,CounterTerrorist,,630.4603229635406,732.5250379697029,-1,Terrorist
7085,esea_match_13780587.dem23,20.679000000000087,CounterTerrorist,,712.298672489764,642.1404682274248,0,CounterTerrorist
34039,esea_match_13783453.dem13,26.180799999999977,CounterTerrorist,,431.151316825892,199.60213732047998,2,Terrorist
2567,esea_match_13780081.dem2,46.51830000000001,CounterTerrorist,,673.5688322869955,811.3117953964195,3,CounterTerrorist
41379,esea_match_13784309.dem9,26.312599999999975,CounterTerrorist,,723.1624759602262,354.38570041314176,-1,CounterTerrorist
1008,esea_match_13779926.dem12,77.30499999999995,CounterTerrorist,,438.1298498732696,199.78763785166234,2,CounterTerrorist
45058,esea_match_13784696.dem10,23.65140000000008,CounterTerrorist,,733.7199578865276,664.1883989769822,0,CounterTerrorist
24299,esea_match_13782470.dem10,34.580400000000054,CounterTerrorist,,503.2120076428153,510.769104859335,-1,CounterTerrorist
48843,esea_match_13785142.dem21,22.38000000000011,CounterTerrorist,,718.7253755507896,659.673572299823,0,Terrorist
16446,esea_match_13781672.dem20,19.797000000000025,CounterTerrorist,,718.8688034314681,629.8008955341334,0,CounterTerrorist
26041,esea_match_13782662.dem26,26.367999999999938,CounterTerrorist,,688.2808313511406,625.748409994098,0,Terrorist
9305,esea_match_13780855.dem3,68.94390000000004,CounterTerrorist,,485.4568778319361,463.9749237851662,-1,CounterTerrorist
12908,esea_match_13781294.dem22,30.054000000000087,CounterTerrorist,,424.1939465782804,192.9819158764509,2,Terrorist
10785,esea_match_13780993.dem6,28.790300000000002,CounterTerrorist,,733.8096202768571,647.9446122368679,0,Terrorist
41428,esea_match_13784317.dem8,22.783999999999992,CounterTerrorist,,698.8770252290894,646.8841487310643,0,Terrorist
19573,esea_match_13781951.dem25,28.891000000000076,CounterTerrorist,,335.39863209202576,194.6521458980916,2,Terrorist
37567,esea_match_13783868.dem15,33.58899999999994,CounterTerrorist,,434.5164016377461,182.6634085382649,2,CounterTerrorist
7229,esea_match_13780598.dem6,42.83170000000001,CounterTerrorist,,486.5267771495418,469.3974500098367,-1,CounterTerrorist
34134,esea_match_13783460.dem18,22.83400000000006,CounterTerrorist,,663.9586252290895,413.16111461735204,4,CounterTerrorist
2750,esea_match_13780103.dem8,159.95050000000003,CounterTerrorist,,643.8313036864886,643.8681534526854,0,CounterTerrorist
11763,esea_match_13781113.dem27,34.25199999999995,CounterTerrorist,,226.06681692337685,171.119807987409,-1,Terrorist
36831,esea_match_13783764.dem3,21.93530000000004,CounterTerrorist,,728.6733089491129,664.2343309069447,0,CounterTerrorist
20232,esea_match_13782033.dem29,92.3710000000001,CounterTerrorist,,329.0877254825502,169.27195435766293,2,CounterTerrorist
28584,esea_match_13782904.dem15,44.39000000000033,CounterTerrorist,,676.6273360109183,649.8816100727918,0,Terrorist
13550,esea_match_13781365.dem14,43.12799999999993,CounterTerrorist,,675.7844775979723,396.76911682077514,4,CounterTerrorist
14504,esea_match_13781461.dem7,32.87889999999993,CounterTerrorist,,654.4258640358744,783.371885894157,3,CounterTerrorist
10335,esea_match_13780955.dem3,28.2663,CounterTerrorist,,375.47039344901543,204.2445459767854,2,CounterTerrorist
43371,esea_match_13784511.dem20,29.72700000000009,CounterTerrorist,,673.4517780464029,403.3105891796183,4,CounterTerrorist
43261,esea_match_13784506.dem2,21.459299999999985,CounterTerrorist,,727.1289436537337,641.6827605744638,0,Terrorist
12903,esea_match_13781294.dem19,29.381000000000085,CounterTerrorist,,274.7286784948333,191.18243179224874,-1,CounterTerrorist
29787,esea_match_13782999.dem9,62.795799999999986,CounterTerrorist,,502.12529787482947,519.6457726539445,-1,CounterTerrorist
18380,esea_match_13781844.dem6,23.661100000000033,CounterTerrorist,,731.975045116007,392.6337926421404,-1,CounterTerrorist
1113,esea_match_13779935.dem8,20.613399999999956,CounterTerrorist,,689.7742462078378,660.0972339169782,0,CounterTerrorist
49469,esea_match_13785223.dem19,28.932000000000016,CounterTerrorist,,335.27744511600696,176.88390257721812,2,Terrorist
22016,esea_match_13782229.dem9,39.72789999999998,CounterTerrorist,,438.99812361084037,203.93861514853438,2,CounterTerrorist
43788,esea_match_13784574.dem1,38.043499999999995,CounterTerrorist,,518.7688216806396,801.2581420421011,-1,Terrorist
29636,esea_match_13782990.dem11,23.695000000000164,CounterTerrorist,,723.2264235523494,669.1361542396223,0,Terrorist
46837,esea_match_13784915.dem28,27.769000000000233,CounterTerrorist,,433.7531433027881,196.084114105843,2,Terrorist
35709,esea_match_13783621.dem22,43.04100000000017,CounterTerrorist,,441.66842971339446,218.45624772771987,2,CounterTerrorist
42632,esea_match_13784437.dem9,20.873699999999985,CounterTerrorist,,724.5775485279781,648.9116002360811,0,Terrorist
38739,esea_match_13784033.dem2,35.278400000000005,CounterTerrorist,,586.6597421719633,479.23445776116466,-1,CounterTerrorist
34059,esea_match_13783453.dem27,58.02399999999989,CounterTerrorist,,233.77886059660753,177.1622742474916,-1,Terrorist
38685,esea_match_13784019.dem12,21.368999999999915,CounterTerrorist,,741.5979498537727,677.7941215817431,0,CounterTerrorist
36655,esea_match_13783750.dem25,37.192999999999756,CounterTerrorist,,744.9874916747905,433.8879181585678,-1,CounterTerrorist
44836,esea_match_13784671.dem4,30.9572,CounterTerrorist,,466.08940222265545,450.11186149911475,-1,CounterTerrorist
13493,esea_match_13781360.dem10,21.27979999999991,CounterTerrorist,,730.9292833690778,663.0683045445602,0,CounterTerrorist
34656,esea_match_13783528.dem2,20.586099999999988,CounterTerrorist,,725.4543872099824,662.8896132205391,0,Terrorist
4543,esea_match_13780323.dem23,25.12400000000025,CounterTerrorist,,727.8843757457595,625.1236954554397,0,CounterTerrorist
47453,esea_match_13784979.dem14,35.269000000000005,CounterTerrorist,,720.2784854747514,631.9552642140468,0,CounterTerrorist
15375,esea_match_13781540.dem6,29.889599999999973,CounterTerrorist,,429.965201793722,197.7327077710014,2,CounterTerrorist
2684,esea_match_13780097.dem7,30.336099999999988,CounterTerrorist,,712.8627409631507,651.4942640173126,0,CounterTerrorist
29022,esea_match_13782935.dem21,29.114000000000487,CounterTerrorist,,363.58628348605976,197.9715336612236,2,Terrorist
7915,esea_match_13780676.dem21,28.526000000000067,CounterTerrorist,,706.5908457789043,642.8816242376549,0,CounterTerrorist
46631,esea_match_13784890.dem14,36.50599999999986,CounterTerrorist,,647.6320283252096,809.6999472752311,3,CounterTerrorist
703,esea_match_13779888.dem3,28.376800000000003,CounterTerrorist,,712.3972192630142,778.5989942947078,-1,CounterTerrorist
49692,esea_match_13785252.dem13,24.483000000000175,CounterTerrorist,,718.7961511405732,644.9874420617746,0,CounterTerrorist
38944,esea_match_13784046.dem8,20.994299999999953,CounterTerrorist,,732.8055252875804,626.5737745425929,0,CounterTerrorist
48617,esea_match_13785108.dem14,57.05899999999997,CounterTerrorist,,338.21288516279975,181.15267109974434,2,CounterTerrorist
16934,esea_match_13781723.dem7,28.597800000000007,CounterTerrorist,,711.7627744979528,628.2458579578988,0,CounterTerrorist
11140,esea_match_13781042.dem1,31.075800000000015,CounterTerrorist,,273.7294349775785,185.86008955341322,-1,Terrorist
39458,esea_match_13784122.dem18,21.161999999999807,CounterTerrorist,,711.1483944628583,644.2420554790478,0,CounterTerrorist
26441,esea_match_13782701.dem14,38.12900000000013,CounterTerrorist,,646.2503530512771,655.8553798937635,0,CounterTerrorist
3910,esea_match_13780227.dem3,69.6723,CounterTerrorist,,533.4832165334374,629.840985244934,-1,CounterTerrorist
4496,esea_match_13780318.dem13,27.885999999999967,CounterTerrorist,,676.3979791772275,644.3091402714932,0,Terrorist
32968,esea_match_13783348.dem8,28.333699999999908,CounterTerrorist,,437.1242175862741,199.01028022821163,2,CounterTerrorist
1057,esea_match_13779928.dem12,22.160000000000082,CounterTerrorist,,738.0227344121661,674.7924296675192,0,CounterTerrorist
33048,esea_match_13783355.dem23,21.458000000000084,CounterTerrorist,,716.9649101189316,676.0855746606335,0,Terrorist
4681,esea_match_13780329.dem38,30.91400000000067,CounterTerrorist,,426.7091253655684,202.27207176864056,2,CounterTerrorist
39574,esea_match_13784134.dem10,179.10400000000004,CounterTerrorist,,554.0655965685319,756.2214818020853,-1,CounterTerrorist
27378,esea_match_13782793.dem8,29.583399999999983,CounterTerrorist,,674.9236906999415,672.3938965178045,0,CounterTerrorist
28884,esea_match_13782925.dem15,33.00800000000004,CounterTerrorist,,429.2708223825307,439.94926083021835,5,CounterTerrorist
5736,esea_match_13780445.dem5,23.821300000000008,CounterTerrorist,,792.4545135503997,646.2078614991146,1,CounterTerrorist
12534,esea_match_13781260.dem14,22.919999999999845,CounterTerrorist,,693.3592045232989,396.2832456423372,4,Terrorist
22465,esea_match_13782254.dem3,28.468500000000006,CounterTerrorist,,364.3579270813025,181.26347180798734,2,CounterTerrorist
28556,esea_match_13782904.dem4,23.41489999999999,CounterTerrorist,,703.1398719438487,396.6095839464883,4,CounterTerrorist
16602,esea_match_13781683.dem24,47.57499999999936,CounterTerrorist,,427.0988403197504,206.63826433208737,2,CounterTerrorist
6763,esea_match_13780546.dem44,23.32000000000062,CounterTerrorist,,721.6397925521544,406.90905370843984,-1,Terrorist
40980,esea_match_13784286.dem28,46.93699999999944,CounterTerrorist,,344.53716825891985,198.2571778870746,2,CounterTerrorist
6800,esea_match_13780556.dem12,26.479000000000042,CounterTerrorist,,775.125175277832,654.6045406256148,1,Terrorist
46703,esea_match_13784893.dem30,25.9079999999999,CounterTerrorist,,675.625117722753,657.014355301987,0,CounterTerrorist
43031,esea_match_13784493.dem2,22.686200000000014,CounterTerrorist,,737.9713647104699,672.9394389140272,0,CounterTerrorist
