,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
43156,esea_match_13784305.dem15,26.317000000000007,CounterTerrorist,,684.5122358354455,653.089592760181,0,CounterTerrorist
13853,esea_match_13781330.dem25,27.7170000000001,CounterTerrorist,,528.755546890232,434.3618832972654,4,CounterTerrorist
16334,esea_match_13781562.dem4,22.964200000000005,CounterTerrorist,,424.27560304152854,459.82571929962614,5,CounterTerrorist
44635,esea_match_13784460.dem5,18.751499999999965,CounterTerrorist,,675.5581953597193,650.1592162108991,0,Terrorist
13563,esea_match_13781302.dem5,32.2432,CounterTerrorist,,647.2107628309612,802.7213157584106,2,CounterTerrorist
41370,esea_match_13784144.dem17,19.784000000000106,CounterTerrorist,,680.8445828816534,655.103143812709,0,CounterTerrorist
34975,esea_match_13783424.dem13,62.98100000000022,CounterTerrorist,,531.7599856502243,425.5000023608105,4,CounterTerrorist
45932,esea_match_13784597.dem4,19.651700000000005,CounterTerrorist,,717.0361049717294,632.2935085579383,0,CounterTerrorist
15313,esea_match_13781463.dem18,19.810999999999922,CounterTerrorist,,640.4595663684929,680.3429407830022,0,Terrorist
11999,esea_match_13781098.dem17,21.605999999999995,CounterTerrorist,,694.2441289920063,639.8605925634467,0,Terrorist
26741,esea_match_13782623.dem20,22.597999999999956,CounterTerrorist,,661.62688,786.2091898485146,2,CounterTerrorist
20746,esea_match_13781977.dem12,27.75070000000005,CounterTerrorist,,448.75109970754534,357.3020516073185,-1,Terrorist
34910,esea_match_13783410.dem16,34.65599999999995,CounterTerrorist,,493.9537020081887,611.154345071808,-1,Terrorist
42423,esea_match_13784257.dem22,33.56400000000008,CounterTerrorist,,321.7180799376097,203.5755313004131,1,Terrorist
8779,esea_match_13780745.dem10,28.826099999999997,CounterTerrorist,,432.29011503217004,210.9419250049184,1,Terrorist
10486,esea_match_13780937.dem11,43.19200000000001,CounterTerrorist,,719.5104555273932,626.9603682864449,0,Terrorist
11555,esea_match_13781031.dem18,19.057000000000016,CounterTerrorist,,679.5853164359524,653.36538579579,0,Terrorist
20755,esea_match_13781977.dem20,24.6370000000004,CounterTerrorist,,344.71385767206084,193.43976454849508,1,Terrorist
21,esea_match_13779770.dem9,31.760800000000017,CounterTerrorist,,687.5089881068435,641.0975313791068,0,CounterTerrorist
40121,esea_match_13784009.dem7,22.270399999999995,CounterTerrorist,,664.107044336128,786.8208097580169,2,Terrorist
15093,esea_match_13781451.dem7,61.78180000000009,CounterTerrorist,,648.1815164281537,808.9307889041904,2,Terrorist
10784,esea_match_13780955.dem3,26.102800000000002,CounterTerrorist,,495.8067247416651,509.49187487704114,3,CounterTerrorist
