,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
25740,esea_match_13782156.dem27,18.723999999999705,Terrorist,,636.7341846909729,635.4209089120598,1,Terrorist
609,esea_match_13779876.dem2,21.524900000000002,Terrorist,,675.171974263989,623.444762541806,1,Terrorist
47983,esea_match_13784195.dem24,19.375999999999976,Terrorist,,575.53431858062,681.7162651977178,1,CounterTerrorist
21594,esea_match_13781820.dem8,24.77139999999997,Terrorist,,665.612078767791,432.0258216014164,5,Terrorist
25242,esea_match_13782121.dem10,21.425899999999956,Terrorist,,701.1234963540651,639.6121975211489,1,Terrorist
34308,esea_match_13782925.dem20,57.634000000000015,Terrorist,,328.16255176447646,196.2038997442454,-1,CounterTerrorist
24504,esea_match_13782070.dem3,24.5616,Terrorist,,636.2686749697797,687.3876498131026,1,Terrorist
1509,esea_match_13779956.dem6,44.84130000000005,Terrorist,,559.2980389159679,736.8484816053511,-1,Terrorist
26072,esea_match_13782194.dem13,25.182000000000016,Terrorist,,563.4442506531487,465.5233939012394,-1,CounterTerrorist
19000,esea_match_13781581.dem4,46.02199999999999,Terrorist,,604.8400046792748,730.289281133189,-1,Terrorist
42756,esea_match_13783632.dem10,33.80050000000017,Terrorist,,680.5724612205108,450.63204060594137,5,CounterTerrorist
15271,esea_match_13781260.dem15,26.218999999999824,Terrorist,,654.017356116202,671.7798591383041,1,Terrorist
43015,esea_match_13783652.dem14,32.57399999999984,Terrorist,,249.2474696821993,231.53391430257727,3,Terrorist
40441,esea_match_13783450.dem21,43.13200000000006,Terrorist,,600.2717348410996,678.9776746016132,1,CounterTerrorist
18879,esea_match_13781571.dem22,36.96399999999994,Terrorist,,630.7613098849679,610.0062482785756,-1,Terrorist
27651,esea_match_13782341.dem19,18.983999999999696,Terrorist,,646.2214039383896,676.5122581152864,1,CounterTerrorist
16056,esea_match_13781325.dem7,28.181100000000015,Terrorist,,635.4864040553714,461.68948794019275,5,Terrorist
43002,esea_match_13783652.dem8,22.22230000000002,Terrorist,,736.4008453889646,449.2180422585087,-1,CounterTerrorist
28880,esea_match_13782462.dem10,20.25490000000002,Terrorist,,722.1875696627022,468.73862899862286,-1,Terrorist
10888,esea_match_13780816.dem24,21.387000000000626,Terrorist,,676.2435905634627,358.0859484871139,-1,Terrorist
31597,esea_match_13782712.dem8,19.965299999999957,Terrorist,,637.8241866718658,655.283849695062,1,CounterTerrorist
5861,esea_match_13780346.dem19,20.47199999999998,Terrorist,,709.4090319360499,662.0024017312611,-1,CounterTerrorist
