,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
31680,esea_match_13785901.dem24,41.241999999999734,Terrorist,,439.81868122441017,624.8714727523115,5,Terrorist
10295,esea_match_13781820.dem24,44.100999999999885,Terrorist,,109.19465626827842,168.98765988589412,19,Terrorist
41892,esea_match_13787823.dem10,30.9384,Terrorist,,416.65220354844996,474.02904048790094,3,CounterTerrorist
19268,esea_match_13783427.dem9,35.75849999999991,Terrorist,,482.37787015012674,428.9159881959473,-1,CounterTerrorist
41823,esea_match_13787809.dem5,36.75460000000004,Terrorist,,429.63258646909736,454.2180551642731,3,CounterTerrorist
25434,esea_match_13784646.dem14,36.937000000000126,Terrorist,,393.57377110547867,600.4254117647058,6,Terrorist
20855,esea_match_13783663.dem23,29.548999999999978,Terrorist,,115.95537219730939,178.71070407239813,19,Terrorist
812,esea_match_13779973.dem23,29.822999999999638,Terrorist,,338.9228372002339,195.4814388353334,-1,Terrorist
26135,esea_match_13784803.dem12,48.63589999999999,Terrorist,,790.4354227334763,628.8746016132205,-1,CounterTerrorist
11902,esea_match_13782091.dem5,31.181899999999985,Terrorist,,473.4329336712809,394.94036120401336,2,Terrorist
48719,esea_match_13789211.dem24,41.53200000000015,Terrorist,,476.38963634236694,599.9906700767262,-1,CounterTerrorist
1073,esea_match_13780012.dem30,23.446000000000367,Terrorist,,410.6202066679665,481.3648129057643,3,Terrorist
10745,esea_match_13781907.dem7,46.7636,Terrorist,,348.7613429518425,287.05558512689356,-1,CounterTerrorist
38319,esea_match_13787231.dem2,36.209900000000005,Terrorist,,402.1123618639111,611.0663088727131,6,CounterTerrorist
7095,esea_match_13781235.dem13,29.145999999999958,Terrorist,,135.91109378046403,259.9105800511509,-1,Terrorist
14223,esea_match_13782516.dem10,64.1526,Terrorist,,389.93037551179566,575.7315601023017,6,Terrorist
34025,esea_match_13786391.dem7,42.143100000000004,Terrorist,,244.1580159875219,345.1702383002164,-1,Terrorist
9885,esea_match_13781775.dem6,34.175700000000006,Terrorist,,464.47354260089685,394.7473463702538,2,CounterTerrorist
41717,esea_match_13787790.dem28,70.40000000000009,Terrorist,,390.5740440631702,870.5400118040527,-1,CounterTerrorist
12785,esea_match_13782250.dem17,54.61200000000008,Terrorist,,588.6854813023981,669.0940499704899,-1,Terrorist
14132,esea_match_13782494.dem22,51.82000000000039,Terrorist,,522.6062761551959,607.3562982490655,5,CounterTerrorist
40764,esea_match_13787640.dem26,25.05600000000004,Terrorist,,713.425751296549,646.6752390320677,14,Terrorist
11273,esea_match_13781985.dem2,33.378000000000014,Terrorist,,406.7140729186976,493.56576384025186,3,CounterTerrorist
46633,esea_match_13788736.dem10,49.502700000000004,Terrorist,,660.9856990758433,805.0291937831989,-1,Terrorist
40373,esea_match_13787581.dem4,51.106899999999996,Terrorist,,472.49727837785144,644.6630981703719,5,CounterTerrorist
39665,esea_match_13787464.dem21,40.52699999999959,Terrorist,,472.58602238253076,638.4647050954161,5,Terrorist
41872,esea_match_13787814.dem20,42.041999999999916,Terrorist,,538.0232959251316,657.9883942553611,5,CounterTerrorist
26934,esea_match_13784970.dem13,48.46400000000017,Terrorist,,458.96400733086375,835.1685980720048,12,Terrorist
13152,esea_match_13782319.dem18,23.097999999999956,Terrorist,,435.59031390134527,468.6875800904977,3,Terrorist
30955,esea_match_13785801.dem5,29.439199999999914,Terrorist,,634.0806471124976,663.1094015345269,18,CounterTerrorist
39017,esea_match_13787364.dem6,59.25749999999999,Terrorist,,373.944276077208,242.4804803462522,-1,Terrorist
36002,esea_match_13786763.dem7,65.5216999999999,Terrorist,,415.0917465392864,631.7183521542397,5,CounterTerrorist
46987,esea_match_13788812.dem6,76.08579999999995,Terrorist,,414.95658412946,602.8330104269132,6,CounterTerrorist
10592,esea_match_13781885.dem15,56.82999999999993,Terrorist,,521.0121183856502,613.1495636435175,5,Terrorist
30818,esea_match_13785778.dem9,44.90989999999999,Terrorist,,466.6978726457399,813.452062168011,12,Terrorist
15142,esea_match_13782707.dem24,29.687000000000808,Terrorist,,651.9039311210762,688.7531174503246,-1,Terrorist
32527,esea_match_13786029.dem12,79.48599999999965,Terrorist,,470.5493025541041,646.7370859728508,5,CounterTerrorist
9498,esea_match_13781708.dem19,33.76999999999998,Terrorist,,482.3544912458569,622.683662404092,-1,CounterTerrorist
31539,esea_match_13785876.dem9,29.537400000000048,Terrorist,,467.1364616884383,455.6044943537281,-1,CounterTerrorist
36465,esea_match_13786854.dem3,25.081799999999987,Terrorist,,633.3950702281146,654.7995498721227,18,Terrorist
429,esea_match_13779903.dem23,43.799999999999955,Terrorist,,113.24234119711443,263.2835752114893,-1,CounterTerrorist
44686,esea_match_13788380.dem15,36.76800000000003,Terrorist,,177.7856860986547,180.29608089710803,8,CounterTerrorist
20700,esea_match_13783634.dem14,45.13499999999999,Terrorist,,493.04655659972707,750.7034050757427,-1,CounterTerrorist
35040,esea_match_13786557.dem20,60.34100000000012,Terrorist,,682.0173613569897,789.6548904190439,-1,Terrorist
17428,esea_match_13783068.dem7,29.892600000000016,Terrorist,,474.632764593488,382.26363202832977,2,CounterTerrorist
38358,esea_match_13787231.dem24,38.666999999999916,Terrorist,,507.12558830181325,584.7283761558135,10,Terrorist
23072,esea_match_13784205.dem10,51.449499999999944,Terrorist,,646.1836243478261,655.2792162108991,18,CounterTerrorist
38946,esea_match_13787343.dem21,49.583000000000084,Terrorist,,188.3201684538896,174.76456706669285,8,Terrorist
17326,esea_match_13783045.dem14,43.42000000000007,Terrorist,,238.47839968804837,183.05566319102888,15,CounterTerrorist
34169,esea_match_13786411.dem25,38.83699999999999,Terrorist,,647.5151877091051,746.0104914420617,-1,Terrorist
24733,esea_match_13784511.dem22,59.65700000000015,Terrorist,,462.82124702671086,400.721196773559,2,Terrorist
16029,esea_match_13782861.dem3,43.395399999999995,Terrorist,,495.71049389744593,641.8695101318119,5,CounterTerrorist
8148,esea_match_13781435.dem28,26.402000000000044,Terrorist,,442.96477098849675,280.75052118827466,0,Terrorist
31072,esea_match_13785811.dem6,67.77080000000001,Terrorist,,328.53130356794696,169.3144615384615,-1,Terrorist
48400,esea_match_13789131.dem22,34.13700000000017,Terrorist,,492.75311241957496,219.4469269329137,-1,CounterTerrorist
28185,esea_match_13785230.dem22,34.600000000000136,Terrorist,,855.9877340612204,573.1253259885893,-1,Terrorist
44647,esea_match_13788363.dem1,93.66999999999999,Terrorist,,381.4686496393059,804.5551682077513,-1,CounterTerrorist
38444,esea_match_13787247.dem27,50.710000000000036,Terrorist,,481.1617478650809,354.7327886681094,2,CounterTerrorist
5437,esea_match_13780868.dem15,37.152000000000044,Terrorist,,449.7993969974654,612.4577643124139,-1,Terrorist
31997,esea_match_13785961.dem19,64.56099999999992,Terrorist,,131.89295691167865,257.4094051544363,-1,CounterTerrorist
22767,esea_match_13784144.dem22,45.01200000000017,Terrorist,,604.6786682784168,685.128725555774,-1,Terrorist
26063,esea_match_13784777.dem24,31.71199999999999,Terrorist,,383.2479220120881,577.7527664764903,6,CounterTerrorist
49451,esea_match_13789377.dem2,28.585000000000008,Terrorist,,104.92815597582377,178.77905803659246,19,Terrorist
38609,esea_match_13787284.dem11,45.78090000000009,Terrorist,,523.2582700721388,548.4987605744639,-1,Terrorist
18829,esea_match_13783346.dem22,40.65300000000002,Terrorist,,175.43701462273344,176.37564965571505,8,Terrorist
24402,esea_match_13784460.dem11,41.77249999999958,Terrorist,,160.42240748683952,252.89093212669684,-1,Terrorist
32060,esea_match_13785965.dem22,24.380999999999858,Terrorist,,508.2953520764281,505.9235481408617,1,CounterTerrorist
49241,esea_match_13789333.dem26,46.96299999999974,Terrorist,,105.92141002144668,181.0533936651584,19,CounterTerrorist
29722,esea_match_13785548.dem24,39.12699999999995,Terrorist,,458.3392056151297,283.32633547117837,0,CounterTerrorist
38404,esea_match_13787245.dem13,34.72600000000011,Terrorist,,433.40675219341,448.2180759394058,3,Terrorist
7538,esea_match_13781321.dem12,33.317800000000034,Terrorist,,414.91006589978554,461.450440448554,3,Terrorist
37146,esea_match_13786971.dem7,46.41719999999998,Terrorist,,480.79165841294605,425.58282085382643,-1,CounterTerrorist
24867,esea_match_13784558.dem9,32.10410000000002,Terrorist,,395.9931183466563,478.33521935864644,3,Terrorist
