,file_round,seconds,att_side,bomb_site,nade_land_x,nade_land_y,cluster,winner_side
23519,esea_match_13782029.dem28,55.63100000000031,Terrorist,,451.35067015012675,822.1477017509345,3,CounterTerrorist
25079,esea_match_13782161.dem17,17.967999999999847,Terrorist,,595.2475863521154,440.0041373991737,1,Terrorist
31789,esea_match_13782786.dem7,44.995299999999986,Terrorist,,471.60782187560926,802.2762998229392,3,Terrorist
38206,esea_match_13783330.dem13,38.190000000000055,Terrorist,,495.81043821407684,287.6941195357073,-1,CounterTerrorist
25470,esea_match_13782219.dem13,54.75499999999988,Terrorist,,509.66783950087734,787.8184190438717,-1,Terrorist
34374,esea_match_13782990.dem22,52.89400000000023,Terrorist,,438.7936829791382,817.3484194373401,3,CounterTerrorist
40572,esea_match_13783543.dem9,45.93469999999991,Terrorist,,460.0978941704036,824.6930962030297,3,CounterTerrorist
36101,esea_match_13783136.dem8,28.917699999999968,Terrorist,,480.3548861766426,398.65063372024395,6,Terrorist
40205,esea_match_13783521.dem6,64.51390000000004,Terrorist,,583.7910448040554,666.4827794609482,9,CounterTerrorist
16921,esea_match_13781441.dem14,32.66500000000019,Terrorist,,397.62784480405537,467.5177260672831,0,Terrorist
1082,esea_match_13779924.dem6,25.086400000000026,Terrorist,,552.6227528173133,661.7505819397993,5,CounterTerrorist
22800,esea_match_13781953.dem14,28.114000000000033,Terrorist,,509.1349961395984,668.7940822349007,4,Terrorist
7836,esea_match_13780535.dem9,56.094100000000026,Terrorist,,695.6236041333593,402.7219553806807,-1,CounterTerrorist
23590,esea_match_13782033.dem27,19.393999999999778,Terrorist,,593.1863096899981,435.4868529608499,1,CounterTerrorist
14579,esea_match_13781230.dem10,27.431699999999978,Terrorist,,508.19718463638134,671.0753680897108,4,CounterTerrorist
9848,esea_match_13780719.dem24,17.297999999999774,Terrorist,,586.9582374731916,434.01408994688177,1,CounterTerrorist
5251,esea_match_13780297.dem14,24.74499999999989,Terrorist,,502.34984316630926,803.8782766083021,3,Terrorist
31033,esea_match_13782733.dem6,47.03419999999994,Terrorist,,483.8734412166114,662.4919394058627,-1,Terrorist
27475,esea_match_13782385.dem21,38.733000000000175,Terrorist,,532.6529360109183,774.9802431634861,-1,CounterTerrorist
10953,esea_match_13780839.dem14,34.22000000000003,Terrorist,,495.6875342561903,339.51795230218374,-1,Terrorist
17812,esea_match_13781507.dem12,18.35069999999996,Terrorist,,600.1171066484695,439.7579180798741,1,CounterTerrorist
39100,esea_match_13783424.dem15,30.036000000000058,Terrorist,,507.786566426204,665.5800558725163,4,Terrorist
3062,esea_match_13780091.dem17,28.37700000000018,Terrorist,,473.31623879898615,477.11391351564043,-1,Terrorist
42379,esea_match_13783724.dem20,26.839999999999918,Terrorist,,552.4144789237669,664.6773322840842,5,Terrorist
20760,esea_match_13781800.dem12,61.136999999999944,Terrorist,,268.80688789237666,332.7217646271887,-1,Terrorist
28300,esea_match_13782471.dem9,17.120400000000018,Terrorist,,733.8892802495614,403.4202012984458,-1,Terrorist
20730,esea_match_13781797.dem30,20.92599999999993,Terrorist,,552.1039647494638,664.540342317529,5,Terrorist
10877,esea_match_13780824.dem15,24.90000000000009,Terrorist,,552.1270441801521,663.7991863072989,5,Terrorist
28486,esea_match_13782485.dem24,39.5150000000001,Terrorist,,592.4098146227335,512.9989388943537,-1,Terrorist
39748,esea_match_13783460.dem21,46.26099999999997,Terrorist,,431.7532587248976,473.3589580956128,0,CounterTerrorist
26302,esea_match_13782275.dem6,57.27599999999984,Terrorist,,530.8686524468708,664.8237906747984,4,Terrorist
33375,esea_match_13782918.dem11,49.72900000000004,Terrorist,,651.1781548995906,757.0156206964391,10,CounterTerrorist
47909,esea_match_13784290.dem20,28.329999999999927,Terrorist,,644.9913361668941,657.8030548888452,17,CounterTerrorist
48739,esea_match_13784362.dem23,51.21399999999994,Terrorist,,509.0350917527784,666.584716112532,4,Terrorist
11929,esea_match_13780925.dem27,30.389999999999873,Terrorist,,390.4237083252096,463.26865992524097,0,Terrorist
8569,esea_match_13780593.dem3,17.829999999999984,Terrorist,,410.8100729186976,471.93958087743454,0,Terrorist
33073,esea_match_13782894.dem5,31.321499999999958,Terrorist,,438.6251791772275,628.7442596891599,22,Terrorist
47427,esea_match_13784266.dem23,20.22900000000027,Terrorist,,592.5912556833691,436.02878929765893,1,Terrorist
15637,esea_match_13781307.dem5,21.405899999999974,Terrorist,,415.4812618444141,459.40538170371826,0,Terrorist
24452,esea_match_13782106.dem3,24.68009999999998,Terrorist,,611.5796975628778,439.7912993114303,1,CounterTerrorist
40341,esea_match_13783532.dem6,40.38119999999998,Terrorist,,525.921089335153,662.0457147353925,4,CounterTerrorist
39865,esea_match_13783473.dem30,52.88200000000006,Terrorist,,484.51201871709884,842.9691693881566,3,Terrorist
14494,esea_match_13781222.dem11,27.538999999999987,Terrorist,,633.8244274985377,663.2864812118828,17,CounterTerrorist
11689,esea_match_13780900.dem23,31.152000000000044,Terrorist,,581.9503004874244,643.3282518197914,-1,CounterTerrorist
